marca,tipo producto,model name,engine,drive,transmission,year,model name simplified,marca simplified,model url
chevrolet,camioneta,silverado 5.3l ltz,,4X4,,,silverado 53l ltz,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado
chevrolet,camioneta,silverado cc lt tb 5.3l,,,,,silverado cc lt tb 53l,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado
chevrolet,camioneta,silverado cc lt tb 5.3l l,,,,,silverado cc lt tb 53l l,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado
chevrolet,camioneta,silverado cc ltz 3.0td,,,,,silverado cc ltz 30td,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado
chevrolet,camioneta,silverado cc ltz 5.3l,,,,,silverado cc ltz 53l,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado
chevrolet,camioneta,silverado cc ltz 5.3l l,,,,,silverado cc ltz 53l l,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado
chevrolet,camioneta,silverado hc td,3.0,4X4,AT,2024.0,silverado hc td,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado
chevrolet,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2024.0,silverado lt trail boss z71 53l v8,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado
chevrolet,camioneta,silverado zr2 6.2l v8,,4X4,AT,2024.0,silverado zr2 62l v8,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado
dfsk,camioneta,d1 confort,,4X2,MT,2024.0,d1 confort,dfsk,https://www.autocosmos.cl/catalogo/vigente/dfsk/d1
dfsk,camioneta,d1 luxury,,4X4,AT,2024.0,d1 luxury,dfsk,https://www.autocosmos.cl/catalogo/vigente/dfsk/d1
dfsk,camioneta,d1 luxury,,4X4,MT,2024.0,d1 luxury,dfsk,https://www.autocosmos.cl/catalogo/vigente/dfsk/d1
dongfeng,camioneta,df 212 cs,,,MT,2024.0,df 212 cs,dongfeng,https://www.autocosmos.cl/catalogo/vigente/dongfeng/aeolus-gs-cross
fiat,camioneta,ram 700 slt dc,1.4,,MT,,ram 700 slt dc,fiat,https://www.autocosmos.cl/catalogo/vigente/fiat/ducato
ford,camioneta,maverick lariat fx4 hev,,,AT,2024.0,maverick lariat fx4 hev,ford,https://www.autocosmos.cl/catalogo/vigente/ford/maverick
ford,camioneta,maverick xlt,2.0,4X2,AT,2024.0,maverick xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/maverick
ford,camioneta,ranger 2.2l tdci xl,,4X2,,,ranger 22l tdci xl,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger 2.2l tdci xl,,4X4,,,ranger 22l tdci xl,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger 2.5l xlt,,4X2,,,ranger 25l xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger 3.2l tdci ltd aut,,4X4,,,ranger 32l tdci ltd aut,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger 3.2l tdci xls,,4X4,,,ranger 32l tdci xls,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger 3.2l tdci xlt,,4X2,,,ranger 32l tdci xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger 3.2l tdci xlt,,4X4,,,ranger 32l tdci xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger 3.2l tdci xlt aut,,4X4,,,ranger 32l tdci xlt aut,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger dsl limited,3.0,4X4,AT,2024.0,ranger dsl limited,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger dsl limited 3.2l,,4X4,AT,,ranger dsl limited 32l,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger dsl xl,2.0,4X2,MT,2024.0,ranger dsl xl,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger dsl xl,2.0,4X4,MT,2024.0,ranger dsl xl,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger dsl xl 2.2l,,4X2,,,ranger dsl xl 22l,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger dsl xl 2.2l,,4X4,,,ranger dsl xl 22l,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger dsl xls,2.0,4X2,MT,2024.0,ranger dsl xls,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger dsl xls,2.0,4X4,MT,2024.0,ranger dsl xls,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger dsl xls 3.2l,,4X4,,,ranger dsl xls 32l,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger dsl xlt,2.0,4X2,AT,2024.0,ranger dsl xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger dsl xlt,2.0,4X4,AT,2024.0,ranger dsl xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger dsl xlt,2.0,4X4,MT,2024.0,ranger dsl xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger dsl xlt 3.2l,,4X2,,,ranger dsl xlt 32l,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger dsl xlt 3.2l,,4X4,,,ranger dsl xlt 32l,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger dsl xlt 3.2l,,4X4,AT,,ranger dsl xlt 32l,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger gas limited 2.5l cng,,,,,ranger gas limited 25l cng,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
ford,camioneta,ranger gas xlt 2.5l cng,,,,,ranger gas xlt 25l cng,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger
foton,camioneta,g7 lite,,4X4,,2024.0,g7 lite,foton,https://www.autocosmos.cl/catalogo/vigente/foton/g7
foton,camioneta,g7 ultimate,,4X2,,2024.0,g7 ultimate,foton,https://www.autocosmos.cl/catalogo/vigente/foton/g7
foton,camioneta,g7 ultimate,,4X4,,2024.0,g7 ultimate,foton,https://www.autocosmos.cl/catalogo/vigente/foton/g7
great wall,camioneta,poer 2.0l deluxe,,4X2,,,poer 20l deluxe,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer
great wall,camioneta,poer 2.0l deluxe,,4X4,,,poer 20l deluxe,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer
great wall,camioneta,poer 2.0l deluxe plus aut,,4X4,,,poer 20l deluxe plus aut,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer
great wall,camioneta,poer 2.0l elite,,4X2,,,poer 20l elite,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer
great wall,camioneta,poer 2.0l elite,,4X4,,,poer 20l elite,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer
great wall,camioneta,poer 2.0l elite plus aut,,4X4,,,poer 20l elite plus aut,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer
great wall,camioneta,poer deluxe,,4X2,,2024.0,poer deluxe,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer
great wall,camioneta,poer elite,,4X2,,2024.0,poer elite,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer
great wall,camioneta,poer elite pant,,4X2,,2024.0,poer elite pant,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer
great wall,camioneta,poer deluxe,,4X4,,2024.0,poer deluxe,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer
great wall,camioneta,poer elite,,4X4,,2024.0,poer elite,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer
great wall,camioneta,poer elite pant,,4X4,,2024.0,poer elite pant,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer
great wall,camioneta,poer plus elite,,4X2,,2024.0,poer plus elite,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer
great wall,camioneta,poer plus deluxe,,4X4,,2024.0,poer plus deluxe,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer
great wall,camioneta,poer plus elite,,4X4,,2024.0,poer plus elite,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer
great wall,camioneta,wingle 7 elite,,4X2,,2024.0,wingle 7 elite,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/wingle-7-gasolina
great wall,camioneta,wingle 7 elite plus,,4X4,,2024.0,wingle 7 elite plus,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/wingle-7-gasolina
great wall,camioneta,wingle5 2.2l elite gasolina,,,,,wingle5 22l elite gasolina,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/wingle-7-gasolina
great wall,camioneta,wingle7 2.0l deluxe,,4X4,,,wingle7 20l deluxe,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/wingle-7-gasolina
great wall,camioneta,wingle7 2.0l elite,,4X2,,,wingle7 20l elite,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/wingle-7-gasolina
great wall,camioneta,wingle7 2.0l elite,,4X4,,,wingle7 20l elite,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/wingle-7-gasolina
honda,camioneta,ridgeline rtl sensing,3.5,4X4,AT,,ridgeline rtl sensing,honda,https://www.autocosmos.cl/catalogo/vigente/honda/pilot
jac,camioneta,t6 2.0l comfort,,4X2,,,t6 20l comfort,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t6-diesel
jac,camioneta,t6 2.0l comfort diesel,,4X2,,,t6 20l comfort diesel,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t6-diesel
jac,camioneta,t8 2.0l advance,,4X2,,,t8 20l advance,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t8
jac,camioneta,t8 2.0l advance,,4X4,,,t8 20l advance,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t8
jac,camioneta,t8 2.0l comfort,,4X2,,,t8 20l comfort,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t8
jac,camioneta,t8 2.0l comfort,,4X4,,,t8 20l comfort,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t8
jac,camioneta,t8 ce comfort 2.0t,,4X2,MT,2024.0,t8 ce comfort 20t,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t8
jac,camioneta,t8 ce comfort 2.0t,,4X4,MT,2024.0,t8 ce comfort 20t,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t8
jac,camioneta,t8 pro advance,,4X4,MT,2024.0,t8 pro advance,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t8
jac,camioneta,t8 pro luxury,,4X2,MT,2024.0,t8 pro luxury,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t8
jac,camioneta,t8 pro luxury,,4X4,MT,2024.0,t8 pro luxury,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t8
jac,camioneta,t8 xe advance 2.0t,,4X2,MT,2024.0,t8 xe advance 20t,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t8
jac,camioneta,t8 xe advance 2.0t,,4X4,MT,2024.0,t8 xe advance 20t,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t8
jac,camioneta,x200 2.0l chasis comfort,,,,,x200 20l chasis comfort,jac,https://www.autocosmos.cl/catalogo/vigente/jac/x200
jac,camioneta,x200 2.0l chasis luxury,,,,,x200 20l chasis luxury,jac,https://www.autocosmos.cl/catalogo/vigente/jac/x200
jac,camioneta,x200 2.0l pickup comfort,,,,,x200 20l pickup comfort,jac,https://www.autocosmos.cl/catalogo/vigente/jac/x200
jac,camioneta,x200 2.0l pickup dc,,,,,x200 20l pickup dc,jac,https://www.autocosmos.cl/catalogo/vigente/jac/x200
jac,camioneta,x200 2.0l pickup luxury,,,,,x200 20l pickup luxury,jac,https://www.autocosmos.cl/catalogo/vigente/jac/x200
jmc,camioneta,grand avenue,,4X2,AT,2024.0,grand avenue,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/grand-avenue
jmc,camioneta,grand avenue,,4X2,MT,2024.0,grand avenue,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/grand-avenue
jmc,camioneta,grand avenue,,4X4,AT,2024.0,grand avenue,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/grand-avenue
jmc,camioneta,grand avenue,,4X4,MT,2024.0,grand avenue,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/grand-avenue
jmc,camioneta,vigus ev,,,AT,2024.0,vigus ev,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-ev
jmc,camioneta,vigus new plus,,4X2,MT,2024.0,vigus new plus,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-plus
jmc,camioneta,vigus new plus,,4X4,MT,2024.0,vigus new plus,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-plus
jmc,camioneta,vigus new work,,4X2,MT,2024.0,vigus new work,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-work
jmc,camioneta,vigus new work,,4X4,MT,2024.0,vigus new work,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-work
jmc,camioneta,vigus pro,,4X2,AT,2024.0,vigus pro,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-pro
jmc,camioneta,vigus pro,,4X4,AT,2024.0,vigus pro,jmc,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-pro
karry,camioneta,q52 cd 1.6l,,,MT,2024.0,q52 cd 16l,karry,https://www.autocosmos.cl/catalogo/vigente/karry/q52
kia,camioneta,frontier c/c lx 2.5l av ab,,,MT,2024.0,frontier cc lx 25l av ab,kia,https://www.autocosmos.cl/catalogo/vigente/kia/frontier
kia,camioneta,frontier c/c lx 2.5l av,,,MT,2024.0,frontier cc lx 25l av,kia,https://www.autocosmos.cl/catalogo/vigente/kia/frontier
kia,camioneta,frontier d/c lx 2.5l av ab,,,MT,2024.0,frontier dc lx 25l av ab,kia,https://www.autocosmos.cl/catalogo/vigente/kia/frontier
kia,camioneta,frontier p/up lx 2.5l av ab,,,MT,2024.0,frontier pup lx 25l av ab,kia,https://www.autocosmos.cl/catalogo/vigente/kia/frontier
mahindra,camioneta,pik up 2.2l dc full,,4X2,,,pik up 22l dc full,mahindra,https://www.autocosmos.cl/catalogo/vigente/mahindra/pik-up
mahindra,camioneta,pik up 2.2l dc work,,4X4,,,pik up 22l dc work,mahindra,https://www.autocosmos.cl/catalogo/vigente/mahindra/pik-up
maxus,camioneta,c35,,,,,c35,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/g-10-cargo
maxus,camioneta,c35 carroceria plana,,,,,c35 carroceria plana,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/deliver-9-cargo
maxus,camioneta,c35 l,,,,,c35 l,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/edeliver-3
maxus,camioneta,c35 l carroceria plana,,,,,c35 l carroceria plana,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/deliver-9-cargo
maxus,camioneta,new v80 fl chasis cabina,,,,,new v80 fl chasis cabina,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/deliver-9-chasis
maxus,camioneta,new v80 fl chasis carroceria carga general,,,,,new v80 fl chasis carroceria carga general,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/deliver-9-chasis
maxus,camioneta,new v80 fl chassis carroceria plana,,,,,new v80 fl chassis carroceria plana,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/deliver-9-chasis
maxus,camioneta,t60 2.8l dx,,4X2,,,t60 28l dx,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 2.8l dx cs,,4X2,,,t60 28l dx cs,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 2.8l dx,,4X4,,,t60 28l dx,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 2.8l dx cs,,4X4,,,t60 28l dx cs,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 2.8l gl,,4X2,,,t60 28l gl,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 2.8l gl aut,,4X2,,,t60 28l gl aut,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 2.8l gl,,4X4,,,t60 28l gl,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 2.8l glx aut,,4X4,,,t60 28l glx aut,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 ancap e6,,4X4,MT,2024.0,t60 ancap e6,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 dx,,4X2,MT,2024.0,t60 dx,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 dx d20,,4X4,,,t60 dx d20,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 dx e6,,4X2,MT,2024.0,t60 dx e6,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 dx e6,,4X4,MT,2024.0,t60 dx e6,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 e6 gl,,4X2,AT,2024.0,t60 e6 gl,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 e6 gl,,4X2,MT,2024.0,t60 e6 gl,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 e6 gl,,4X4,MT,2024.0,t60 e6 gl,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 e6 glx,,4X4,AT,2024.0,t60 e6 glx,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 gl d20,,4X4,,,t60 gl d20,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
maxus,camioneta,t60 glx d20,,4X4,,,t60 glx d20,maxus,https://www.autocosmos.cl/catalogo/vigente/maxus/t60
