model,marca,model name,engine,drive,transmission,year,version url,Motor - Combustible,Motor - Cilindrada,Motor - Potencia,Motor - Torque,Motor - Alimentación,Motor - Cilindros,Motor - Válvulas,Motor - Catalítico,Motor - Sistema start / stop,Performance - Aceleración 0-100 km/h,Performance - Rendimiento en ciudad,Performance - Rendimiento en ruta,Performance - Rendimiento mixto,Performance - Velocidad máxima,Transmisión y chasis - Motor - tracción,Transmisión y chasis - Transmisión,Transmisión y chasis - Neumáticos,Transmisión y chasis - Frenos (del. - tras.),Transmisión y chasis - Suspensión delantera,Transmisión y chasis - Suspensión trasera,Medidas y capacidades - Largo,Medidas y capacidades - Ancho sin espejos,Medidas y capacidades - Ancho con espejos,Medidas y capacidades - Alto,Medidas y capacidades - Distancia entre ejes,Medidas y capacidades - Baúl,Medidas y capacidades - Tanque de combustible,Medidas y capacidades - Peso,Medidas y capacidades - Capacidad de carga,Medidas y capacidades - Altura de piso,Medidas y capacidades - Capacidad de vadeo,Medidas y capacidades - Ángulo de ataque,Medidas y capacidades - Ángulo de partida,Medidas y capacidades - Ángulo ventral,Medidas y capacidades - Remolque con frenos,Medidas y capacidades - Remolque sin frenos,Medidas y capacidades - Capacidad de pendiente,Medidas y capacidades - Escalonamiento vertical,Medidas y capacidades - Inclinación lateral,Confort - Aire acondicionado,Confort - Alarma de luces encendidas,Confort - Asientos delanteros,Confort - Asientos traseros,Confort - Tapizados,Confort - Cierre de puertas,Confort - Vidrios (del. - tras.),Confort - Espejos exteriores,Confort - Espejo interior,Confort - Faros delanteros,Confort - Faros antiniebla,Confort - Computadora de a bordo,Confort - Dirección asistida,Confort - Llantas,Confort - Techo solar,Confort - Volante,Confort - Apertura de baúl y tapa de combustible,Confort - Sensores de estacionamiento,Seguridad - ABS,Seguridad - Distribución electrónica de frenado,Seguridad - Airbags,Seguridad - Alarma e inmovilizador de motor,Seguridad - Anclaje para asientos infantiles,Seguridad - Cinturones de seguridad,Seguridad - Tercera luz de stop,Seguridad - Control de tracción,Comunicación y entretenimiento - Equipo de música,Comunicación y entretenimiento - Parlantes,Comunicación y entretenimiento - Conexión auxiliar (iPod y Mp3),Comunicación y entretenimiento - Interfaz bluetooth,Comunicación y entretenimiento - Pantalla,Seguridad - Otros,Seguridad - Autobloqueo de puertas con velocidad,Confort - Control de velocidad crucero,Confort - Encendido del motor,Seguridad - Control de estabilidad,Comunicación y entretenimiento - Apple Carplay / Android Auto,Comunicación y entretenimiento - Conexión USB,Confort - Limpialuneta,Confort - Cámara de visión,Seguridad - Asistencia en frenada de emergencia,Comunicación y entretenimiento - Reproducción de audio vía bluetooth,Comunicación y entretenimiento - Sistema de control por voz para dispositivos,Comunicación y entretenimiento - MirrorLink,Comunicación y entretenimiento - Recarga inalámbrica del celular,Seguridad - Sensor de lluvia,Confort - Limitador de velocidad,Comunicación y entretenimiento - Wi-Fi,Confort - Puertas,Seguridad - Encendido automático de balizas,Seguridad - Luz de freno variable,Confort - Sistema de estacionamiento asistido,Confort - Palanca de cambios,Seguridad - Cabeceras delanteras activas,Comunicación y entretenimiento - Sistema de video,Comunicación y entretenimiento - Sistema de navegación,Transmisión y chasis - Neumáticos delanteros,Transmisión y chasis - Neumáticos traseros,Batería - Cantidad de celdas,Batería - Cantidad de módulos,Batería - Potencia,Batería - Tipo,Batería - Voltaje,Batería - Ubicación,Motor eléctrico - Potencia,Motor eléctrico - Torque,Motor eléctrico - Voltaje,Comunicación y entretenimiento - Preinstalación teléfono,Motor - Potencia total sistema híbrido,Comunicación y entretenimiento - Disco rígido
toyota hilux sr 2.4 4X2 MT,toyota,hilux sr,2.4,4X2,MT,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x2/180007,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - trasera,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux dx cabina simple 2.4 4X4,toyota,hilux dx cabina simple,2.4,4X4,,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x4/180006,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux dx 2.4 4X4 MT,toyota,hilux dx,2.4,4X4,MT,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x4/180006,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux sr 2.4 4X4 MT,toyota,hilux sr,2.4,4X4,MT,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x4/180006,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux 2.4l dx cd 4X2,toyota,hilux 2.4l dx cd,,4X2,,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-dx-cd-4x2/180005,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - trasera,manual 6 velocidades,225/70/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1815 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,215 mm,N/D,30°,25°,N/D,2000 kg,750 kg,N/D,N/D,N/D,manual,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,acero,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux 2.4l dx cd 4X4,toyota,hilux 2.4l dx cd,,4X4,,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x4/180006,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux 2.4l dx cs 4X4,toyota,hilux 2.4l dx cs,,4X4,,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x4/180006,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux 2.4l sr cd 4X2,toyota,hilux 2.4l sr cd,,4X2,,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x2/180007,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - trasera,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux 2.4l sr cd 4X4,toyota,hilux 2.4l sr cd,,4X4,,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x4/180006,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux dx gasolina 2.7 4X2 MT,toyota,hilux dx gasolina,2.7,4X2,MT,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/27l-sr-gasolina-cd-4x2/180008,bencina,2694 cc,164/5200 cv/rpm,245/4000 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,"6,9 km/l","10,7 km/l","8,9 km/l",N/D,delantero - trasera,manual 5 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2750 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux sr gasolina 2.7 4X2 MT,toyota,hilux sr gasolina,2.7,4X2,MT,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/27l-sr-gasolina-cd-4x2/180008,bencina,2694 cc,164/5200 cv/rpm,245/4000 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,"6,9 km/l","10,7 km/l","8,9 km/l",N/D,delantero - trasera,manual 5 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2750 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux 2.7l dx gasolina cd 4X2,toyota,hilux 2.7l dx gasolina cd,,4X2,,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/27l-sr-gasolina-cd-4x2/180008,bencina,2694 cc,164/5200 cv/rpm,245/4000 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,"6,9 km/l","10,7 km/l","8,9 km/l",N/D,delantero - trasera,manual 5 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2750 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux 2.7l sr gasolina cd 4X2,toyota,hilux 2.7l sr gasolina cd,,4X2,,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/27l-sr-gasolina-cd-4x2/180008,bencina,2694 cc,164/5200 cv/rpm,245/4000 N·m/rpm,inyección electrónica multipunto,4 en línea,16,sí,no,N/D,"6,9 km/l","10,7 km/l","8,9 km/l",N/D,delantero - trasera,manual 5 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2750 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux srv 2.8 4X4 AT,toyota,hilux srv,2.8,4X4,AT,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x4/180006,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux sr 2.8 4X4 MT,toyota,hilux sr,2.8,4X4,MT,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x4/180006,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toyota hilux sr r 2.8 4X4 MT,toyota,hilux sr r,2.8,4X4,MT,,https://www.autocosmos.cl/catalogo/2025/toyota/hilux/24l-sr-cd-4x4/180006,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,,sí,sí,sí,,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
