MARCA,TIPO PRODUCTO,Model Name,Engine,Drive,Transmission,Year,Model Name Simplified,Marca Simplified,Match Key,Model URL
GREAT WALL,CAMIONETA,POER ELITE,,4X2,,2024,poer,great wall,great wall poer,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer-plus
GREAT WALL,CAMIONETA,POER ELITE PANT,,4X2,,2024,poer pant,great wall,great wall poer pant,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer-plus
GREAT WALL,CAMIONETA,POER DELUXE,,4X4,,2024,poer,great wall,great wall poer,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer-plus
GREAT WALL,CAMIONETA,POER ELITE,,4X4,,2024,poer,great wall,great wall poer,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer-plus
GREAT WALL,CAMIONETA,POER ELITE PANT,,4X4,,2024,poer pant,great wall,great wall poer pant,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer-plus
GREAT WALL,CAMIONETA,POER PLUS ELITE,,4X2,,2024,poer,great wall,great wall poer,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer-plus
GREAT WALL,CAMIONETA,POER PLUS DELUXE,,4X4,,2024,poer,great wall,great wall poer,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer-plus
GREAT WALL,CAMIONETA,POER PLUS ELITE,,4X4,,2024,poer,great wall,great wall poer,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer-plus
GREAT WALL,CAMIONETA,WINGLE 7 ELITE,,4X2,,2024,wingle 7,great wall,great wall wingle 7,https://www.autocosmos.cl/catalogo/vigente/great-wall/wingle-7-gasolina
GREAT WALL,CAMIONETA,WINGLE 7 ELITE PLUS,,4X4,,2024,wingle 7,great wall,great wall wingle 7,https://www.autocosmos.cl/catalogo/vigente/great-wall/wingle-7-gasolina
JAC,CAMIONETA,T8 CE COMFORT,2.0T,4X2,MT,2024,t8,jac,jac t8,https://www.autocosmos.cl/catalogo/vigente/jac/t8
JAC,CAMIONETA,T8 CE COMFORT,2.0T,4X4,MT,2024,t8,jac,jac t8,https://www.autocosmos.cl/catalogo/vigente/jac/t8
JAC,CAMIONETA,T8 PRO ADVANCE,,4X4,MT,2024,t8 pro,jac,jac t8 pro,https://www.autocosmos.cl/catalogo/vigente/jac/t8-pro
JAC,CAMIONETA,T8 PRO LUXURY,,4X2,MT,2024,t8 pro,jac,jac t8 pro,https://www.autocosmos.cl/catalogo/vigente/jac/t8-pro
JAC,CAMIONETA,T8 PRO LUXURY,,4X4,MT,2024,t8 pro,jac,jac t8 pro,https://www.autocosmos.cl/catalogo/vigente/jac/t8-pro
JAC,CAMIONETA,T8 XE ADVANCE,2.0T,4X2,MT,2024,t8,jac,jac t8,https://www.autocosmos.cl/catalogo/vigente/jac/t8
JAC,CAMIONETA,T8 XE ADVANCE,2.0T,4X4,MT,2024,t8,jac,jac t8,https://www.autocosmos.cl/catalogo/vigente/jac/t8
JMC,CAMIONETA,GRAND AVENUE,,4X2,AT,2024,grand avenue,jmc,jmc grand avenue,https://www.autocosmos.cl/catalogo/vigente/jmc/grand-avenue
JMC,CAMIONETA,GRAND AVENUE,,4X2,MT,2024,grand avenue,jmc,jmc grand avenue,https://www.autocosmos.cl/catalogo/vigente/jmc/grand-avenue
JMC,CAMIONETA,GRAND AVENUE,,4X4,AT,2024,grand avenue,jmc,jmc grand avenue,https://www.autocosmos.cl/catalogo/vigente/jmc/grand-avenue
JMC,CAMIONETA,GRAND AVENUE,,4X4,MT,2024,grand avenue,jmc,jmc grand avenue,https://www.autocosmos.cl/catalogo/vigente/jmc/grand-avenue
JMC,CAMIONETA,VIGUS EV,,,AT,2024,vigus ev,jmc,jmc vigus ev,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-ev
JMC,CAMIONETA,VIGUS NEW PLUS,,4X2,MT,2024,vigus new,jmc,jmc vigus new,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-plus
JMC,CAMIONETA,VIGUS NEW PLUS,,4X4,MT,2024,vigus new,jmc,jmc vigus new,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-plus
JMC,CAMIONETA,VIGUS NEW WORK,,4X2,MT,2024,vigus new work,jmc,jmc vigus new work,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-work
JMC,CAMIONETA,VIGUS NEW WORK,,4X4,MT,2024,vigus new work,jmc,jmc vigus new work,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-work
JMC,CAMIONETA,VIGUS PRO,,4X2,AT,2024,vigus pro,jmc,jmc vigus pro,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-pro
JMC,CAMIONETA,VIGUS PRO,,4X4,AT,2024,vigus pro,jmc,jmc vigus pro,https://www.autocosmos.cl/catalogo/vigente/jmc/vigus-pro
KARRY,CAMIONETA,Q52 CD,1.6L,,MT,2024,q52 cd,karry,karry q52 cd,https://www.autocosmos.cl/catalogo/vigente/karry/q52
KIA,CAMIONETA,FRONTIER C/C LX AV AB,2.5L,,MT,2024,frontier cc av ab,kia,kia frontier cc av ab,
KIA,CAMIONETA,FRONTIER C/C LX AV,2.5L,,MT,2024,frontier cc av,kia,kia frontier cc av,https://www.autocosmos.cl/catalogo/vigente/kia/frontier-doble-cabina
KIA,CAMIONETA,FRONTIER D/C LX AV AB,2.5L,,MT,2024,frontier dc av ab,kia,kia frontier dc av ab,
KIA,CAMIONETA,FRONTIER P/UP LX AV AB,2.5L,,MT,2024,frontier pup av ab,kia,kia frontier pup av ab,
MAXUS,CAMIONETA,T60 ANCAP E6,,4X4,MT,2024,t60 ancap e6,maxus,maxus t60 ancap e6,
