MARCA,TIPO PRODUCTO,Model Name,Engine,Drive,Transmission,Year,Model Name Simplified,Marca Simplified,Match Key,Model URL
KIA,SEDÁN,SOLUTO LX G LL,1.4L,,5MT,2024,soluto g ll,kia,kia soluto g ll,https://www.autocosmos.cl/catalogo/vigente/kia/soluto
MG,SEDÁN,3 COM,,,AT,2024,3,mg,mg 3,https://www.autocosmos.cl/catalogo/vigente/mg/3
MG,SEDÁN,5 COM,1.5L,,CVT,2024,5,mg,mg 5,https://www.autocosmos.cl/catalogo/vigente/mg/5
MG,SEDÁN,5 DLX,1.5L,,CVT,2024,5,mg,mg 5,https://www.autocosmos.cl/catalogo/vigente/mg/5
MG,SEDÁN,5 COM,1.5L,,MT,2024,5,mg,mg 5,https://www.autocosmos.cl/catalogo/vigente/mg/5
MG,SEDÁN,5 DLX,1.5L,,MT,2024,5,mg,mg 5,https://www.autocosmos.cl/catalogo/vigente/mg/5
MG,SEDÁN,6 COM,1.5T,,MT,2024,6,mg,mg 6,https://www.autocosmos.cl/catalogo/vigente/mg/6
MG,SEDÁN,6 DLX,1.5T,,MT,2024,6,mg,mg 6,https://www.autocosmos.cl/catalogo/vigente/mg/6
MG,SEDÁN,GT COM,1.5L,2WD,CVT,2024,gt,mg,mg gt,https://www.autocosmos.cl/catalogo/vigente/mg/gt
MG,SEDÁN,GT COM,1.5L,2WD,MT,2024,gt,mg,mg gt,https://www.autocosmos.cl/catalogo/vigente/mg/gt
MG,SEDÁN,GT DLX,1.5T,,DCT,2024,gt,mg,mg gt,https://www.autocosmos.cl/catalogo/vigente/mg/gt
NISSAN,SEDÁN,LEAF,,,,2024,leaf,nissan,nissan leaf,https://www.autocosmos.cl/catalogo/vigente/nissan/leaf
NISSAN,SEDÁN,SENTRA ADVANCE,,,CVT,2024,sentra,nissan,nissan sentra,https://www.autocosmos.cl/catalogo/vigente/nissan/sentra
NISSAN,SEDÁN,SENTRA ADVANCE,,,MT,2024,sentra,nissan,nissan sentra,https://www.autocosmos.cl/catalogo/vigente/nissan/sentra
NISSAN,SEDÁN,SENTRA EXCLUSIVE,,,CVT,2024,sentra exclusive,nissan,nissan sentra exclusive,
NISSAN,SEDÁN,SENTRA SENSE,,,MT,2024,sentra sense,nissan,nissan sentra sense,https://www.autocosmos.cl/catalogo/vigente/nissan/sentra
NISSAN,SEDÁN,VERSA ADVANCE,,,CVT,2024,versa,nissan,nissan versa,https://www.autocosmos.cl/catalogo/vigente/nissan/versa
NISSAN,SEDÁN,VERSA ADVANCE,,,MT,2024,versa,nissan,nissan versa,https://www.autocosmos.cl/catalogo/vigente/nissan/versa
NISSAN,SEDÁN,VERSA EXCLUSIVE,,,CVT,2024,versa exclusive,nissan,nissan versa exclusive,
NISSAN,SEDÁN,VERSA SENSE,,,CVT,2024,versa sense,nissan,nissan versa sense,https://www.autocosmos.cl/catalogo/vigente/nissan/versa
NISSAN,SEDÁN,VERSA SENSE,,,MT,2024,versa sense,nissan,nissan versa sense,https://www.autocosmos.cl/catalogo/vigente/nissan/versa
TOYOTA,SEDÁN,COROLLA SEG HEV,1.8,,,2024,corolla seg hev,toyota,toyota corolla seg hev,
TOYOTA,SEDÁN,YARIS I,1.5,,,2024,yaris i,toyota,toyota yaris i,https://www.autocosmos.cl/catalogo/vigente/toyota/yaris
BAIC,SUV,BJ40P DIESEL PREMIUM,,4X4,,2024,bj40p,baic,baic bj40p,https://www.autocosmos.cl/catalogo/vigente/baic/bj40-plus
BAIC,SUV,BJ40P GASOLINA ELITE,,4X2,,2024,bj40p,baic,baic bj40p,https://www.autocosmos.cl/catalogo/vigente/baic/bj40-plus
BAIC,SUV,BJ40P GASOLINA LUXURY,,4X4,,2024,bj40p,baic,baic bj40p,https://www.autocosmos.cl/catalogo/vigente/baic/bj40-plus
BAIC,SUV,X35 LUXURY,1.5T,,CVT,2024,x35,baic,baic x35,https://www.autocosmos.cl/catalogo/vigente/baic/x35
BAIC,SUV,X35 COMFORT,1.5T,,MT,2024,x35,baic,baic x35,https://www.autocosmos.cl/catalogo/vigente/baic/x35
BAIC,SUV,X35 ELITE,1.5T,,MT,2024,x35,baic,baic x35,https://www.autocosmos.cl/catalogo/vigente/baic/x35
BAIC,SUV,X55 E6 COMFORT,1.5T,,MT,2024,x55 e6,baic,baic x55 e6,https://www.autocosmos.cl/catalogo/vigente/baic/x55-plus
BAIC,SUV,X55 E6 ELITE,1.5T,,MT,2024,x55 e6,baic,baic x55 e6,https://www.autocosmos.cl/catalogo/vigente/baic/x55-plus
BAIC,SUV,X55 PLUS COMFORT,,,,2024,x55,baic,baic x55,https://www.autocosmos.cl/catalogo/vigente/baic/x55-plus
BAIC,SUV,X55 PLUS ELITE,,,,2024,x55,baic,baic x55,https://www.autocosmos.cl/catalogo/vigente/baic/x55-plus
BAIC,SUV,X55 PLUS LUXURY,,,,2024,x55,baic,baic x55,https://www.autocosmos.cl/catalogo/vigente/baic/x55-plus
BYD,SUV,SONG PLUS DM GL,,,AT,2024,song dm gl,byd,byd song dm gl,https://www.autocosmos.cl/catalogo/vigente/byd/song-plus-dm-i
BYD,SUV,SONG PLUS DM GS,,,AT,2024,song dm gs,byd,byd song dm gs,https://www.autocosmos.cl/catalogo/vigente/byd/song-plus-dm-i
BYD,SUV,YUAN PLUS EV GL,,,AT,2024,yuan ev gl,byd,byd yuan ev gl,https://www.autocosmos.cl/catalogo/vigente/byd/yuan-plus-ev
BYD,SUV,YUAN PLUS EV GS,,,AT,2024,yuan ev gs,byd,byd yuan ev gs,https://www.autocosmos.cl/catalogo/vigente/byd/yuan-plus-ev
CHANGAN,SUV,CS15 COMFORT,1.5L,,MT,2024,cs15,changan,changan cs15,https://www.autocosmos.cl/catalogo/vigente/changan/cs15
CHANGAN,SUV,CS15 ELITE,1.5L,,AT,2024,cs15,changan,changan cs15,https://www.autocosmos.cl/catalogo/vigente/changan/cs15
CHANGAN,SUV,CS15 ELITE,1.5L,,MT,2024,cs15,changan,changan cs15,https://www.autocosmos.cl/catalogo/vigente/changan/cs15
CHANGAN,SUV,CS15 LUXURY,1.5L,,MT,2024,cs15,changan,changan cs15,https://www.autocosmos.cl/catalogo/vigente/changan/cs15
CHANGAN,SUV,CS35 PLUS ELITE,1.4L,,AT,2024,cs35,changan,changan cs35,https://www.autocosmos.cl/catalogo/vigente/changan/cs35-plus
CHANGAN,SUV,CS35 PLUS LUX,1.4L,,AT,2024,cs35 lux,changan,changan cs35 lux,https://www.autocosmos.cl/catalogo/vigente/changan/cs35-plus
CHANGAN,SUV,CS35 PLUS COMFORT,1.6L,,MT,2024,cs35,changan,changan cs35,https://www.autocosmos.cl/catalogo/vigente/changan/cs35-plus
CHANGAN,SUV,CS35 PLUS LUXURY,1.6L,,MT,2024,cs35,changan,changan cs35,https://www.autocosmos.cl/catalogo/vigente/changan/cs35-plus
CHANGAN,SUV,CS55 COMFORT,1.5L,,MT,2024,cs55,changan,changan cs55,https://www.autocosmos.cl/catalogo/vigente/changan/cs55-plus
CHANGAN,SUV,CS55 LUXURY,1.5L,,AT,2024,cs55,changan,changan cs55,https://www.autocosmos.cl/catalogo/vigente/changan/cs55-plus
CHANGAN,SUV,CS55 LUXURY,1.5L,,MT,2024,cs55,changan,changan cs55,https://www.autocosmos.cl/catalogo/vigente/changan/cs55-plus
CHANGAN,SUV,CS55 PLUS ELITE,1.5L,,AT,2024,cs55,changan,changan cs55,https://www.autocosmos.cl/catalogo/vigente/changan/cs55-plus
CHANGAN,SUV,CS55 PLUS LUXURY,1.5L,,AT,2024,cs55,changan,changan cs55,https://www.autocosmos.cl/catalogo/vigente/changan/cs55-plus
CHERY,SUV,TIGGO 2 PRO GLX,1.0L,,AT,2024,tiggo 2 pro,chery,chery tiggo 2 pro,https://www.autocosmos.cl/catalogo/vigente/chery/tiggo-2-pro
CHERY,SUV,TIGGO 2 PRO GLX,1.0L,,MT,2024,tiggo 2 pro,chery,chery tiggo 2 pro,https://www.autocosmos.cl/catalogo/vigente/chery/tiggo-2-pro
CHERY,SUV,TIGGO 2 GLS,1.5L,,AT,2024,tiggo 2,chery,chery tiggo 2,https://www.autocosmos.cl/catalogo/vigente/chery/tiggo-8
CHERY,SUV,TIGGO 2 PRO GLS,1.5L,,AT,2024,tiggo 2 pro,chery,chery tiggo 2 pro,https://www.autocosmos.cl/catalogo/vigente/chery/tiggo-2-pro
CHERY,SUV,TIGGO 2 PRO GLS,1.5L,,MT,2024,tiggo 2 pro,chery,chery tiggo 2 pro,https://www.autocosmos.cl/catalogo/vigente/chery/tiggo-2-pro
CHERY,SUV,TIGGO 3 PRO GLS,1.5L,,AT,2024,tiggo 3 pro,chery,chery tiggo 3 pro,https://www.autocosmos.cl/catalogo/vigente/chery/tiggo-3-pro
CHERY,SUV,TIGGO 3 PRO GLX,1.5L,,AT,2024,tiggo 3 pro,chery,chery tiggo 3 pro,https://www.autocosmos.cl/catalogo/vigente/chery/tiggo-3-pro
CHERY,SUV,TIGGO 3 PRO GLX,1.5L,,MT,2024,tiggo 3 pro,chery,chery tiggo 3 pro,https://www.autocosmos.cl/catalogo/vigente/chery/tiggo-3-pro
CHERY,SUV,TIGGO 7 PRO GLS,1.5L,,AT,2024,tiggo 7 pro,chery,chery tiggo 7 pro,https://www.autocosmos.cl/catalogo/vigente/chery/tiggo-7-pro
CHERY,SUV,TIGGO 7 PRO GLX,1.5L,,AT,2024,tiggo 7 pro,chery,chery tiggo 7 pro,https://www.autocosmos.cl/catalogo/vigente/chery/tiggo-7-pro
CHERY,SUV,TIGGO 8 GLS,1.5L,,MT,2024,tiggo 8,chery,chery tiggo 8,https://www.autocosmos.cl/catalogo/vigente/chery/tiggo-8
CHERY,SUV,TIGGO 8 GLX,1.5L,,AT,2024,tiggo 8,chery,chery tiggo 8,https://www.autocosmos.cl/catalogo/vigente/chery/tiggo-8
CHERY,SUV,TIGGO 8 PRO GLX,1.6L,,AT,2024,tiggo 8 pro,chery,chery tiggo 8 pro,https://www.autocosmos.cl/catalogo/vigente/chery/tiggo-8-pro-phev
CHERY,SUV,TIGGO 8 PRO MAX GLX,1.6L,,AT,2024,tiggo 8 pro max,chery,chery tiggo 8 pro max,https://www.autocosmos.cl/catalogo/vigente/chery/tiggo-2-pro-max
CHERY,SUV,TIGGO 8 PRO MAX GLX,2.0L,AWD,AT,2024,tiggo 8 pro max,chery,chery tiggo 8 pro max,https://www.autocosmos.cl/catalogo/vigente/chery/tiggo-2-pro-max
CHEVROLET,SUV,BLAZER RS,3.6L,AWD,AT,2024,blazer rs,chevrolet,chevrolet blazer rs,https://www.autocosmos.cl/catalogo/vigente/chevrolet/blazer
CHEVROLET,SUV,BOLT EUV,,,AT,2024,bolt euv,chevrolet,chevrolet bolt euv,https://www.autocosmos.cl/catalogo/vigente/chevrolet/bolt
CHEVROLET,SUV,CAPTIVA LTZ P,1.5L,,AT,2024,captiva ltz p,chevrolet,chevrolet captiva ltz p,https://www.autocosmos.cl/catalogo/vigente/chevrolet/captiva
CHEVROLET,SUV,CAPTIVA LTZ P,1.5L,,MT,2024,captiva ltz p,chevrolet,chevrolet captiva ltz p,https://www.autocosmos.cl/catalogo/vigente/chevrolet/captiva
CHEVROLET,SUV,CAPTIVA PREMIER P,1.5L,,AT,2024,captiva premier p,chevrolet,chevrolet captiva premier p,
CHEVROLET,SUV,CAPTIVA PREMIER P,1.5L,,MT,2024,captiva premier p,chevrolet,chevrolet captiva premier p,
CHEVROLET,SUV,GROOVE LTZ R,1.5L,,MT,2024,groove ltz r,chevrolet,chevrolet groove ltz r,https://www.autocosmos.cl/catalogo/vigente/chevrolet/groove
CHEVROLET,SUV,GROOVE PREMIER R,1.5L,,MT,2024,groove premier r,chevrolet,chevrolet groove premier r,
CHEVROLET,SUV,SPIN ACTIV 7P,1.8L,,AT,2024,spin activ 7p,chevrolet,chevrolet spin activ 7p,https://www.autocosmos.cl/catalogo/vigente/chevrolet/spin-activ
CHEVROLET,SUV,SPIN PREMIER 7P,1.8L,,MT,2024,spin premier 7p,chevrolet,chevrolet spin premier 7p,
CHEVROLET,SUV,SUBURBAN Z71 P,5.3L,4WD,AT,2024,suburban z71 p,chevrolet,chevrolet suburban z71 p,https://www.autocosmos.cl/catalogo/vigente/chevrolet/suburban
CHEVROLET,SUV,TAHOE Z71 P,5.3L,4WD,AT,2024,tahoe z71 p,chevrolet,chevrolet tahoe z71 p,https://www.autocosmos.cl/catalogo/vigente/chevrolet/tahoe
CHEVROLET,SUV,TRACKER LS R,1.2L,,MT,2024,tracker ls r,chevrolet,chevrolet tracker ls r,https://www.autocosmos.cl/catalogo/vigente/chevrolet/tracker
CHEVROLET,SUV,TRACKER LTZ P,1.2L,,MT,2024,tracker ltz p,chevrolet,chevrolet tracker ltz p,https://www.autocosmos.cl/catalogo/vigente/chevrolet/tracker
CHEVROLET,SUV,TRACKER LTZ R,1.2L,,AT,2024,tracker ltz r,chevrolet,chevrolet tracker ltz r,https://www.autocosmos.cl/catalogo/vigente/chevrolet/tracker
CHEVROLET,SUV,TRACKER PREMIER P3,1.2L,,AT,2024,tracker premier p3,chevrolet,chevrolet tracker premier p3,
CHEVROLET,SUV,TRACKER PREMIER P4,1.2L,,AT,2024,tracker premier p4,chevrolet,chevrolet tracker premier p4,
CHEVROLET,SUV,TRACKER RS R,1.2L,,AT,2024,tracker rs r,chevrolet,chevrolet tracker rs r,https://www.autocosmos.cl/catalogo/vigente/chevrolet/tracker
CHEVROLET,SUV,TRAVERSE LT,3.6L,AWD,AT,2024,traverse lt,chevrolet,chevrolet traverse lt,https://www.autocosmos.cl/catalogo/vigente/chevrolet/traverse
CHEVROLET,SUV,TRAVERSE PREMIER,3.6L,AWD,AT,2024,traverse premier,chevrolet,chevrolet traverse premier,https://www.autocosmos.cl/catalogo/vigente/chevrolet/traverse
CHEVROLET,SUV,TRAVERSE RS,3.6L,AWD,AT,2024,traverse rs,chevrolet,chevrolet traverse rs,https://www.autocosmos.cl/catalogo/vigente/chevrolet/traverse
CITROEN,SUV,C5 AIRCROSS BLUEHDI 130 S&S FEEL,1.5L,,AT,2024,c5 aircross bluehdi 130 ss feel,citroen,citroen c5 aircross bluehdi 130 ss feel,
CITROEN,SUV,C5 AIRCROSS BLUEHDI 130 S&S FEEL PACK,1.5L,,AT,2024,c5 aircross bluehdi 130 ss feel pack,citroen,citroen c5 aircross bluehdi 130 ss feel pack,
CITROEN,SUV,C5 AIRCROSS BLUEHDI 130 S&S SHINE,1.5L,,AT,2024,c5 aircross bluehdi 130 ss shine,citroen,citroen c5 aircross bluehdi 130 ss shine,
CITROEN,SUV,C5 AIRCROSS HYBRID 225 SHINE,,,AT,2024,c5 aircross 225 shine,citroen,citroen c5 aircross 225 shine,
DFSK,SUV,SUV 500 COMFORT,1.5,,,2024,500,dfsk,dfsk 500,https://www.autocosmos.cl/catalogo/vigente/dfsk/560
DFSK,SUV,SUV 500 LUXURY,1.5,,,2024,500,dfsk,dfsk 500,https://www.autocosmos.cl/catalogo/vigente/dfsk/560
DFSK,SUV,SUV 500 LUXURY,1.5,,CVT,2024,500,dfsk,dfsk 500,https://www.autocosmos.cl/catalogo/vigente/dfsk/560
DFSK,SUV,SUV 560 COMFORT,1.8,2R,,2024,560,dfsk,dfsk 560,https://www.autocosmos.cl/catalogo/vigente/dfsk/560
DFSK,SUV,SUV 560 COMFORT,1.8L,,,2024,560,dfsk,dfsk 560,https://www.autocosmos.cl/catalogo/vigente/dfsk/560
DFSK,SUV,SUV 600 COMFORT,1.5T,,AT,2024,600,dfsk,dfsk 600,https://www.autocosmos.cl/catalogo/vigente/dfsk/600
DFSK,SUV,SUV 600 COMFORT,1.5T,,MT,2024,600,dfsk,dfsk 600,https://www.autocosmos.cl/catalogo/vigente/dfsk/600
DFSK,SUV,SUV 600 LUXURY,1.5T,,AT,2024,600,dfsk,dfsk 600,https://www.autocosmos.cl/catalogo/vigente/dfsk/600
EXEED,SUV,LX ADVANCED,1.5T,,AT,2024,advanced,exeed,exeed advanced,
EXEED,SUV,LX UNLIMITED,1.5T,,AT,2024,unlimited,exeed,exeed unlimited,
EXEED,SUV,LX UNLIMITED,1.5T,AWD,AT,2024,unlimited,exeed,exeed unlimited,
EXEED,SUV,TXL UNLIMITED,2.0T,,AT,2024,txl unlimited,exeed,exeed txl unlimited,
EXEED,SUV,TXL UNLIMITED,2.0T,AWD,AT,2024,txl unlimited,exeed,exeed txl unlimited,
FIAT,SUV,FASTBACK AUDACE,1.0L,,AT,2024,fastback audace,fiat,fiat fastback audace,
FIAT,SUV,FASTBACK DRIVE,1.0L,,AT,2024,fastback drive,fiat,fiat fastback drive,https://www.autocosmos.cl/catalogo/vigente/fiat/fastback
FIAT,SUV,FASTBACK IMPETUS,1.0L,,AT,2024,fastback impetus,fiat,fiat fastback impetus,
FIAT,SUV,PULSE DRIVE,1.3L,,AT,2024,pulse drive,fiat,fiat pulse drive,
FIAT,SUV,PULSE DRIVE,1.3L,,MT,2024,pulse drive,fiat,fiat pulse drive,
FIAT,SUV,PULSE IMPETUS,1.0L,,AT,2024,pulse impetus,fiat,fiat pulse impetus,
FORD,SUV,ESCAPE PLATINUM ECOBOOST,2.0L,AWD,AT,2024,escape platinum ecoboost,ford,ford escape platinum ecoboost,
FORD,SUV,ESCAPE PLATINUM HEV,2.5L,AWD,AT,2024,escape platinum hev,ford,ford escape platinum hev,
FORD,SUV,ESCAPE ST LINE FHEV,2.5L,,AT,2024,escape st fhev,ford,ford escape st fhev,
FORD,SUV,TERRITORY TREND,1.5L,4X2,AT,2024,territory trend,ford,ford territory trend,https://www.autocosmos.cl/catalogo/vigente/ford/territory
GAC,SUV,EMKOO GDI GE,1.5T,,AT,2024,emkoo gdi ge,gac,gac emkoo gdi ge,
GAC,SUV,EMKOO GDI GL,1.5T,,AT,2024,emkoo gdi gl,gac,gac emkoo gdi gl,
GAC,SUV,EMZOOM GB,1.5T,,AT,2024,emzoom gb,gac,gac emzoom gb,https://www.autocosmos.cl/catalogo/vigente/gac/emzoom
GAC,SUV,EMZOOM GL,1.5T,,AT,2024,emzoom gl,gac,gac emzoom gl,https://www.autocosmos.cl/catalogo/vigente/gac/emzoom
GAC,SUV,EMZOOM GL R-STYLE,1.5T,,AT,2024,emzoom gl rstyle,gac,gac emzoom gl rstyle,
GAC,SUV,GS3 POWER GB,1.5T,,AT,2024,gs3 gb,gac,gac gs3 gb,https://www.autocosmos.cl/catalogo/vigente/gac/gs3-power
GAC,SUV,GS3 POWER GS,1.5T,,AT,2024,gs3 gs,gac,gac gs3 gs,https://www.autocosmos.cl/catalogo/vigente/gac/gs3-power
GAC,SUV,GS3 POWER GB,1.5T,,MT,2024,gs3 gb,gac,gac gs3 gb,https://www.autocosmos.cl/catalogo/vigente/gac/gs3-power
GAC,SUV,GS3 POWER GS,1.5T,,MT,2024,gs3 gs,gac,gac gs3 gs,https://www.autocosmos.cl/catalogo/vigente/gac/gs3-power
GAC,SUV,GS4 POWER GB,1.5T,,AT,2024,gs4 gb,gac,gac gs4 gb,https://www.autocosmos.cl/catalogo/vigente/gac/gs4-power
GAC,SUV,GS4 POWER GE,1.5T,,AT,2024,gs4 ge,gac,gac gs4 ge,https://www.autocosmos.cl/catalogo/vigente/gac/gs4-power
GAC,SUV,GS4 POWER GL,1.5T,,AT,2024,gs4 gl,gac,gac gs4 gl,https://www.autocosmos.cl/catalogo/vigente/gac/gs4-power
GAC,SUV,GS4 POWER GB,1.5T,,MT,2024,gs4 gb,gac,gac gs4 gb,https://www.autocosmos.cl/catalogo/vigente/gac/gs4-power
GAC,SUV,GS8 GL,2.0T,2WD,AT,2024,gs8 gl,gac,gac gs8 gl,https://www.autocosmos.cl/catalogo/vigente/gac/gs8
GAC,SUV,GS8 GT,2.0T,2WD,AT,2024,gs8 gt,gac,gac gs8 gt,https://www.autocosmos.cl/catalogo/vigente/gac/gs8
GAC,SUV,GS8 GT,2.0T,4WD,AT,2024,gs8 gt,gac,gac gs8 gt,https://www.autocosmos.cl/catalogo/vigente/gac/gs8
GAC,SUV,GS8 GX,2.0T,4WD,AT,2024,gs8 gx,gac,gac gs8 gx,https://www.autocosmos.cl/catalogo/vigente/gac/gs8
HAVAL,SUV,H6 ACTIVE,,2WD,AT,2024,h6 active,haval,haval h6 active,
HAVAL,SUV,H6 DELUXE,,2WD,AT,2024,h6,haval,haval h6,https://www.autocosmos.cl/catalogo/vigente/haval/h6-hibrido
HAVAL,SUV,H6 DELUXE,,AWD,AT,2024,h6,haval,haval h6,https://www.autocosmos.cl/catalogo/vigente/haval/h6-hibrido
HAVAL,SUV,H6 ELITE,,2WD,AT,2024,h6,haval,haval h6,https://www.autocosmos.cl/catalogo/vigente/haval/h6-hibrido
HAVAL,SUV,H6 GT DELUXE,,AWD,AT,2024,h6 gt,haval,haval h6 gt,https://www.autocosmos.cl/catalogo/vigente/haval/h6-gt
HAVAL,SUV,H6 GT ELITE,,2WD,AT,2024,h6 gt,haval,haval h6 gt,https://www.autocosmos.cl/catalogo/vigente/haval/h6-gt
HAVAL,SUV,H6 HIBRIDA DELUXE,,2WD,AT,2024,h6 hibrida,haval,haval h6 hibrida,
HAVAL,SUV,H6 HIDRIDA ELITE,,2WD,AT,2024,h6 hidrida,haval,haval h6 hidrida,
HAVAL,SUV,JOLION ACTIVE,,,MT,2024,jolion active,haval,haval jolion active,
HAVAL,SUV,JOLION DELUXE,,,AT,2024,jolion,haval,haval jolion,https://www.autocosmos.cl/catalogo/vigente/haval/jolion-hibrido
HAVAL,SUV,JOLION ELITE,,,AT,2024,jolion,haval,haval jolion,https://www.autocosmos.cl/catalogo/vigente/haval/jolion-hibrido
HAVAL,SUV,JOLION ELITE,,,MT,2024,jolion,haval,haval jolion,https://www.autocosmos.cl/catalogo/vigente/haval/jolion-hibrido
HAVAL,SUV,JOLION HIBRIDO DELUXE,,2WD,AT,2024,jolion,haval,haval jolion,https://www.autocosmos.cl/catalogo/vigente/haval/jolion-hibrido
HAVAL,SUV,JOLION HIBRIDO ELITE,,2WD,AT,2024,jolion,haval,haval jolion,https://www.autocosmos.cl/catalogo/vigente/haval/jolion-hibrido
HYUNDAI,SUV,CRETA GRAND SU2I VALUE,2.0,,AT,2024,creta grand su2i value,hyundai,hyundai creta grand su2i value,
HYUNDAI,SUV,CRETA GRAND SU2I PLUS,2.0,,MT,2024,creta grand su2i,hyundai,hyundai creta grand su2i,https://www.autocosmos.cl/catalogo/vigente/hyundai/creta-grand
HYUNDAI,SUV,CRETA SU2ID DESIGN,1.5,,CVT,2024,creta su2id design,hyundai,hyundai creta su2id design,
HYUNDAI,SUV,CRETA SU2ID PLUS,1.5,,CVT,2024,creta su2id,hyundai,hyundai creta su2id,https://www.autocosmos.cl/catalogo/vigente/hyundai/creta
HYUNDAI,SUV,CRETA SU2ID PREMIUM,1.5,,CVT,2024,creta su2id,hyundai,hyundai creta su2id,https://www.autocosmos.cl/catalogo/vigente/hyundai/creta
HYUNDAI,SUV,CRETA SU2ID GO,1.5,,MT,2024,creta su2id go,hyundai,hyundai creta su2id go,
HYUNDAI,SUV,CRETA SU2ID DESIGN,1.5,,MT,2024,creta su2id design,hyundai,hyundai creta su2id design,
HYUNDAI,SUV,CRETA SU2ID PLUS,1.5,,MT,2024,creta su2id,hyundai,hyundai creta su2id,https://www.autocosmos.cl/catalogo/vigente/hyundai/creta
HYUNDAI,SUV,IONIQ 5 NE EV LIMITED,,AWD,AT,2024,ioniq 5 ne ev,hyundai,hyundai ioniq 5 ne ev,https://www.autocosmos.cl/catalogo/vigente/hyundai/ioniq-5
HYUNDAI,SUV,IONIQ 5 NE EV LIMITED,,,AT,2024,ioniq 5 ne ev,hyundai,hyundai ioniq 5 ne ev,https://www.autocosmos.cl/catalogo/vigente/hyundai/ioniq-5
HYUNDAI,SUV,IONIQ 5 NE EV PREMIUM,,,AT,2024,ioniq 5 ne ev,hyundai,hyundai ioniq 5 ne ev,https://www.autocosmos.cl/catalogo/vigente/hyundai/ioniq-5
HYUNDAI,SUV,KONA OS EV PREMIUM,,,AT,2024,kona os ev,hyundai,hyundai kona os ev,https://www.autocosmos.cl/catalogo/vigente/hyundai/kona-ev
HYUNDAI,SUV,PALISADE LX2 PREMIUM FL,3.5,AWD,AT,2024,palisade lx2 fl,hyundai,hyundai palisade lx2 fl,https://www.autocosmos.cl/catalogo/vigente/hyundai/palisade
HYUNDAI,SUV,SANTA FE MX5 GDI DESIGN,2.5,,AT,2024,santa fe mx5 gdi design,hyundai,hyundai santa fe mx5 gdi design,
HYUNDAI,SUV,SANTA FE MX5 GDI PLUS,2.5,,AT,2024,santa fe mx5 gdi,hyundai,hyundai santa fe mx5 gdi,https://www.autocosmos.cl/catalogo/vigente/hyundai/santa-fe
HYUNDAI,SUV,SANTA FE MX5 GDI CALLIGRAPHY,2.5T,,AT,2024,santa fe mx5 gdi calligraphy,hyundai,hyundai santa fe mx5 gdi calligraphy,
HYUNDAI,SUV,SANTA FE MX5 GDI LIMITED,2.5T,,AT,2024,santa fe mx5 gdi,hyundai,hyundai santa fe mx5 gdi,https://www.autocosmos.cl/catalogo/vigente/hyundai/santa-fe
HYUNDAI,SUV,SANTA FE TM VALUE FL,2.5,,AT,2024,santa fe tm value fl,hyundai,hyundai santa fe tm value fl,
HYUNDAI,SUV,TUCSON NX4 LIMITED,1.6,4WD,AT,2024,tucson nx4,hyundai,hyundai tucson nx4,https://www.autocosmos.cl/catalogo/vigente/hyundai/tucson-hibrido
HYUNDAI,SUV,TUCSON NX4 PLUS,1.6,,AT,2024,tucson nx4,hyundai,hyundai tucson nx4,https://www.autocosmos.cl/catalogo/vigente/hyundai/tucson-hibrido
HYUNDAI,SUV,TUCSON NX4 HEV LIMITED,1.6,,AT,2024,tucson nx4 hev,hyundai,hyundai tucson nx4 hev,
HYUNDAI,SUV,TUCSON NX4 HEV VALUE,1.6,,AT,2024,tucson nx4 hev value,hyundai,hyundai tucson nx4 hev value,
HYUNDAI,SUV,TUCSON NX4 PLUS,2.0,4WD,AT,2024,tucson nx4,hyundai,hyundai tucson nx4,https://www.autocosmos.cl/catalogo/vigente/hyundai/tucson-hibrido
HYUNDAI,SUV,TUCSON NX4 PLUS,2.0,,AT,2024,tucson nx4,hyundai,hyundai tucson nx4,https://www.autocosmos.cl/catalogo/vigente/hyundai/tucson-hibrido
HYUNDAI,SUV,TUCSON NX4 VALUE,2.0,,AT,2024,tucson nx4 value,hyundai,hyundai tucson nx4 value,
HYUNDAI,SUV,TUCSON NX4 PLUS,2.0,,MT,2024,tucson nx4,hyundai,hyundai tucson nx4,https://www.autocosmos.cl/catalogo/vigente/hyundai/tucson-hibrido
HYUNDAI,SUV,VENUE QX VALUE,1.6,,AT,2024,venue qx value,hyundai,hyundai venue qx value,
HYUNDAI,SUV,VENUE QX PLUS,1.6,,MT,2024,venue qx,hyundai,hyundai venue qx,https://www.autocosmos.cl/catalogo/vigente/hyundai/venue
HYUNDAI,SUV,VENUE QX VALUE,1.6,,MT,2024,venue qx value,hyundai,hyundai venue qx value,
JAC,SUV,JS2 COMFORT,,,MT,2024,js2,jac,jac js2,https://www.autocosmos.cl/catalogo/vigente/jac/js2
JAC,SUV,JS2 LUXURY,,,AT,2024,js2,jac,jac js2,https://www.autocosmos.cl/catalogo/vigente/jac/js2
JAC,SUV,JS2 LUXURY,,,MT,2024,js2,jac,jac js2,https://www.autocosmos.cl/catalogo/vigente/jac/js2
JAC,SUV,JS3 SE LUXURY,1.6,,MT,2024,js3,jac,jac js3,https://www.autocosmos.cl/catalogo/vigente/jac/js3
JAC,SUV,JS3 XE ADVANCE,1.6,,AT,2024,js3,jac,jac js3,https://www.autocosmos.cl/catalogo/vigente/jac/js3
