MODEL,MARCA,Model Name,Engine,Drive,Transmission,Year,Version URL,Motor - Combustible,Motor - Cilindrada,Motor - Potencia,Motor - Torque,Motor - Alimentación,Motor - Cilindros,Motor - Válvulas,Motor - Catalítico,Motor - Sistema start / stop,Performance - Aceleración 0-100 km/h,Performance - Rendimiento en ciudad,Performance - Rendimiento en ruta,Performance - Rendimiento mixto,Performance - Velocidad máxima,Transmisión y chasis - Motor - tracción,Transmisión y chasis - Transmisión,Transmisión y chasis - Neumáticos,Transmisión y chasis - Frenos (del. - tras.),Transmisión y chasis - Suspensión delantera,Transmisión y chasis - Suspensión trasera,Medidas y capacidades - Largo,Medidas y capacidades - Ancho sin espejos,Medidas y capacidades - Ancho con espejos,Medidas y capacidades - Alto,Medidas y capacidades - Distancia entre ejes,Medidas y capacidades - Baúl,Medidas y capacidades - Tanque de combustible,Medidas y capacidades - Peso,Medidas y capacidades - Capacidad de carga,Medidas y capacidades - Altura de piso,Medidas y capacidades - Capacidad de vadeo,Medidas y capacidades - Ángulo de ataque,Medidas y capacidades - Ángulo de partida,Medidas y capacidades - Ángulo ventral,Medidas y capacidades - Remolque con frenos,Medidas y capacidades - Remolque sin frenos,Medidas y capacidades - Capacidad de pendiente,Medidas y capacidades - Escalonamiento vertical,Medidas y capacidades - Inclinación lateral,Confort - Aire acondicionado,Confort - Alarma de luces encendidas,Confort - Asientos delanteros,Confort - Asientos traseros,Confort - Tapizados,Confort - Cierre de puertas,Confort - Vidrios (del. - tras.),Confort - Espejos exteriores,Confort - Espejo interior,Confort - Faros delanteros,Confort - Faros antiniebla,Confort - Computadora de a bordo,Confort - Dirección asistida,Confort - Llantas,Confort - Techo solar,Confort - Volante,Confort - Apertura de baúl y tapa de combustible,Confort - Sensores de estacionamiento,Seguridad - ABS,Seguridad - Distribución electrónica de frenado,Seguridad - Airbags,Seguridad - Alarma e inmovilizador de motor,Seguridad - Anclaje para asientos infantiles,Seguridad - Cinturones de seguridad,Seguridad - Tercera luz de stop,Comunicación y entretenimiento - Equipo de música,Comunicación y entretenimiento - Parlantes,Comunicación y entretenimiento - Conexión auxiliar (iPod y Mp3),Comunicación y entretenimiento - Interfaz bluetooth,Comunicación y entretenimiento - Pantalla,Seguridad - Otros,Seguridad - Autobloqueo de puertas con velocidad,Seguridad - Control de estabilidad,Seguridad - Control de tracción,Confort - Control de velocidad crucero,Confort - Encendido del motor,Comunicación y entretenimiento - Apple Carplay / Android Auto,Confort - Cámara de visión,Seguridad - Asistencia en frenada de emergencia,Seguridad - Sensor de lluvia,Comunicación y entretenimiento - Conexión USB,Comunicación y entretenimiento - Reproducción de audio vía bluetooth,Comunicación y entretenimiento - Sistema de navegación,Comunicación y entretenimiento - Wi-Fi,Comunicación y entretenimiento - MirrorLink,Comunicación y entretenimiento - Recarga inalámbrica del celular,Confort - Limitador de velocidad,Confort - Limpialuneta,Comunicación y entretenimiento - Sistema de control por voz para dispositivos,Seguridad - Encendido automático de balizas,Seguridad - Luz de freno variable,Confort - Sistema de estacionamiento asistido,Batería - Cantidad de celdas,Batería - Cantidad de módulos,Batería - Potencia,Batería - Tipo,Batería - Voltaje,Batería - Ubicación,Motor eléctrico - Potencia,Motor eléctrico - Torque,Motor eléctrico - Voltaje,Confort - Palanca de cambios,Transmisión y chasis - Neumáticos delanteros,Transmisión y chasis - Neumáticos traseros,Motor - Potencia total sistema híbrido,Seguridad - Cabeceras delanteras activas,Comunicación y entretenimiento - Preinstalación teléfono,Comunicación y entretenimiento - Disco rígido,Confort - Puertas
SSANGYONG MUSSO GRAND GLX 2.2TD 4X2 MT 2024,SSANGYONG,MUSSO GRAND GLX 2.2TD,,4X2,MT,2024,https://www.autocosmos.cl/catalogo/2024/ssangyong/musso/22td-glx-4x4/178028,diesel,2167 cc,178/3800 cv/rpm,400/1400-2800 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,manual 6 velocidades,255/60/R18,discos ventilados - discos sólidos,independiente de doble bandeja,independiente de doble bandeja y barra estabilizadora,5095 mm,1950 mm,N/D,1810 mm,3100 mm,N/A dm3,75 l,2055 kg,775 kg,N/D,N/D,N/D,N/D,N/D,3000 kg,750 kg,N/D,N/D,N/D,climatizador,sí,con ajuste manual,abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,con luces led,delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",,no tiene,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",N/D,sí,sí,"táctil de 10""","asistente para arranque en pendientes, control de descenso en pendientes, sistema de alerta por cansancio",sí,sí,sí,sí,,sí,trasera,sí,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSANGYONG MUSSO GRAND GLX 2.2TD 4X4 MT 2024,SSANGYONG,MUSSO GRAND GLX 2.2TD,,4X4,MT,2024,https://www.autocosmos.cl/catalogo/2024/ssangyong/musso/22td-glx-4x4/178028,diesel,2167 cc,178/3800 cv/rpm,400/1400-2800 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,manual 6 velocidades,255/60/R18,discos ventilados - discos sólidos,independiente de doble bandeja,independiente de doble bandeja y barra estabilizadora,5095 mm,1950 mm,N/D,1810 mm,3100 mm,N/A dm3,75 l,2055 kg,775 kg,N/D,N/D,N/D,N/D,N/D,3000 kg,750 kg,N/D,N/D,N/D,climatizador,sí,con ajuste manual,abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,con luces led,delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",,no tiene,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",N/D,sí,sí,"táctil de 10""","asistente para arranque en pendientes, control de descenso en pendientes, sistema de alerta por cansancio",sí,sí,sí,sí,,sí,trasera,sí,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSANGYONG MUSSO GRAND LIMITED 2.2TD 4X4 AT 2024,SSANGYONG,MUSSO GRAND LIMITED 2.2TD,,4X4,AT,2024,https://www.autocosmos.cl/catalogo/2024/ssangyong/musso/22td-limited-aut-4x4/178029,diesel,2167 cc,184/3800 cv/rpm,420/1600-2600 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 6 velocidades,255/60/R18,discos ventilados - discos sólidos,independiente de doble bandeja,independiente de doble bandeja y barra estabilizadora,5095 mm,1950 mm,N/D,1810 mm,3100 mm,N/A dm3,75 l,2165 kg,715 kg,N/D,N/D,N/D,N/D,N/D,3000 kg,750 kg,N/D,N/D,N/D,climatizador,sí,con ajuste manual,abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con encendido y apagado automático, con luces led",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",,no tiene,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",N/D,sí,sí,"táctil de 10""","asistente para arranque en pendientes, control de descenso en pendientes, sistema de alerta por cansancio",sí,sí,sí,sí,,sí,trasera,sí,sí,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSANGYONG MUSSO GRAND LIMITED PLUS 2.2TD 4X4 AT 2024,SSANGYONG,MUSSO GRAND LIMITED PLUS 2.2TD,,4X4,AT,2024,https://www.autocosmos.cl/catalogo/2024/ssangyong/musso/22td-limited-plus-4x4-aut/178030,diesel,2167 cc,184/3800 cv/rpm,420/1600-2600 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 6 velocidades,255/60/R18,discos ventilados - discos sólidos,independiente de doble bandeja,independiente de doble bandeja y barra estabilizadora,5095 mm,1950 mm,N/D,1810 mm,3100 mm,N/A dm3,75 l,2165 kg,715 kg,N/D,N/D,N/D,N/D,N/D,3000 kg,750 kg,N/D,N/D,N/D,climatizador,sí,"calefaccionables y ventilados, con ajuste eléctrico solo conductor",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con encendido y apagado automático, con luces de Xenón, con luces led",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",,no tiene,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",N/D,sí,sí,"táctil de 10""","asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos, sistema de alerta del punto ciego, sistema de alerta por cansancio, sistema de bloqueo electrónico diferencial",sí,sí,sí,sí,con botón,sí,trasera,sí,sí,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSANGYONG MUSSO GRAND LX 2.2TD 4X2 MT 2024,SSANGYONG,MUSSO GRAND LX 2.2TD,,4X2,MT,2024,https://www.autocosmos.cl/catalogo/2024/ssangyong/musso/22td-glx-4x4/178028,diesel,2167 cc,178/3800 cv/rpm,400/1400-2800 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,manual 6 velocidades,255/60/R18,discos ventilados - discos sólidos,independiente de doble bandeja,independiente de doble bandeja y barra estabilizadora,5095 mm,1950 mm,N/D,1810 mm,3100 mm,N/A dm3,75 l,2055 kg,775 kg,N/D,N/D,N/D,N/D,N/D,3000 kg,750 kg,N/D,N/D,N/D,climatizador,sí,con ajuste manual,abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,con luces led,delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",,no tiene,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",N/D,sí,sí,"táctil de 10""","asistente para arranque en pendientes, control de descenso en pendientes, sistema de alerta por cansancio",sí,sí,sí,sí,,sí,trasera,sí,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSANGYONG MUSSO GRAND LX 2.2TD 4X4 MT 2024,SSANGYONG,MUSSO GRAND LX 2.2TD,,4X4,MT,2024,https://www.autocosmos.cl/catalogo/2024/ssangyong/musso/22td-glx-4x4/178028,diesel,2167 cc,178/3800 cv/rpm,400/1400-2800 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,manual 6 velocidades,255/60/R18,discos ventilados - discos sólidos,independiente de doble bandeja,independiente de doble bandeja y barra estabilizadora,5095 mm,1950 mm,N/D,1810 mm,3100 mm,N/A dm3,75 l,2055 kg,775 kg,N/D,N/D,N/D,N/D,N/D,3000 kg,750 kg,N/D,N/D,N/D,climatizador,sí,con ajuste manual,abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,con luces led,delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",,no tiene,sí,sí,conductor y acompañante,alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",N/D,sí,sí,"táctil de 10""","asistente para arranque en pendientes, control de descenso en pendientes, sistema de alerta por cansancio",sí,sí,sí,sí,,sí,trasera,sí,,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSANGYONG MUSSO LIMITED 2.2TD 4X4 AT 2024,SSANGYONG,MUSSO LIMITED 2.2TD,,4X4,AT,2024,https://www.autocosmos.cl/catalogo/2024/ssangyong/musso/22td-limited-aut-4x4/178029,diesel,2167 cc,184/3800 cv/rpm,420/1600-2600 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 6 velocidades,255/60/R18,discos ventilados - discos sólidos,independiente de doble bandeja,independiente de doble bandeja y barra estabilizadora,5095 mm,1950 mm,N/D,1810 mm,3100 mm,N/A dm3,75 l,2165 kg,715 kg,N/D,N/D,N/D,N/D,N/D,3000 kg,750 kg,N/D,N/D,N/D,climatizador,sí,con ajuste manual,abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con encendido y apagado automático, con luces led",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",,no tiene,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",N/D,sí,sí,"táctil de 10""","asistente para arranque en pendientes, control de descenso en pendientes, sistema de alerta por cansancio",sí,sí,sí,sí,,sí,trasera,sí,sí,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSANGYONG MUSSO LIMITED PLUS 2.2TD 4X4 AT 2024,SSANGYONG,MUSSO LIMITED PLUS 2.2TD,,4X4,AT,2024,https://www.autocosmos.cl/catalogo/2024/ssangyong/musso/22td-limited-plus-4x4-aut/178030,diesel,2167 cc,184/3800 cv/rpm,420/1600-2600 N·m/rpm,inyección directa turbo diesel,4 en línea,16,sí,no,N/D,N/D,N/D,N/D,N/D,delantero - integral,automática 6 velocidades,255/60/R18,discos ventilados - discos sólidos,independiente de doble bandeja,independiente de doble bandeja y barra estabilizadora,5095 mm,1950 mm,N/D,1810 mm,3100 mm,N/A dm3,75 l,2165 kg,715 kg,N/D,N/D,N/D,N/D,N/D,3000 kg,750 kg,N/D,N/D,N/D,climatizador,sí,"calefaccionables y ventilados, con ajuste eléctrico solo conductor",abatibles 60/40,símil cuero,centralizado con comando a distancia,eléctricos - eléctricos,"con luz de giro incorporadas, eléctricos y térmicos",antideslumbrante manual,"con encendido y apagado automático, con luces de Xenón, con luces led",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura, multifunción revestido en cuero",,no tiene,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), laterales delanteros",alarma e inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",N/D,sí,sí,"táctil de 10""","asistente para arranque en pendientes, control de descenso en pendientes, indicador de presión de neumáticos, sistema de alerta del punto ciego, sistema de alerta por cansancio, sistema de bloqueo electrónico diferencial",sí,sí,sí,sí,con botón,sí,trasera,sí,sí,sí,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOYOTA HILUX DX 2.4 4X2 MT 2024,TOYOTA,HILUX DX,2.4,4X2,MT,2024,https://www.autocosmos.cl/catalogo/2024/toyota/hilux/24l-dx-cd-4x2/178145,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - trasera,manual 6 velocidades,225/70/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1815 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,215 mm,N/D,30°,25°,N/D,2000 kg,750 kg,N/D,N/D,N/D,manual,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,acero,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques",sí,sí,sí,sí,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOYOTA HILUX DX 2.4 4X4 MT 2024,TOYOTA,HILUX DX,2.4,4X4,MT,2024,https://www.autocosmos.cl/catalogo/2024/toyota/hilux/24l-sr-cd-4x4/178147,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,sí,sí,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOYOTA HILUX DX 2.8 4X4 MT 2024,TOYOTA,HILUX DX,2.8,4X4,MT,2024,https://www.autocosmos.cl/catalogo/2024/toyota/hilux/24l-sr-cd-4x4/178147,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,sí,sí,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOYOTA HILUX DX CS 2.8 4X4 MT 2024,TOYOTA,HILUX DX CS,2.8,4X4,MT,2024,https://www.autocosmos.cl/catalogo/2024/toyota/hilux/24l-sr-cd-4x4/178147,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,sí,sí,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOYOTA HILUX DX DC 2.4 4X2 MT 2024,TOYOTA,HILUX DX DC,2.4,4X2,MT,2024,https://www.autocosmos.cl/catalogo/2024/toyota/hilux/24l-dx-cd-4x2/178145,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - trasera,manual 6 velocidades,225/70/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1815 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,215 mm,N/D,30°,25°,N/D,2000 kg,750 kg,N/D,N/D,N/D,manual,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,acero,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques",sí,sí,sí,sí,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOYOTA HILUX DX DC 2.4 4X4 MT 2024,TOYOTA,HILUX DX DC,2.4,4X4,MT,2024,https://www.autocosmos.cl/catalogo/2024/toyota/hilux/24l-sr-cd-4x4/178147,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,sí,sí,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOYOTA HILUX SR 2.4 4X2 MT 2024,TOYOTA,HILUX SR,2.4,4X2,MT,2024,https://www.autocosmos.cl/catalogo/2024/toyota/hilux/24l-sr-cd-4x2/178148,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - trasera,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,sí,sí,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOYOTA HILUX SR 2.4 4X4 MT 2024,TOYOTA,HILUX SR,2.4,4X4,MT,2024,https://www.autocosmos.cl/catalogo/2024/toyota/hilux/24l-sr-cd-4x4/178147,diesel,2393 cc,148/3400 cv/rpm,400/1600-2000 N·m/rpm,inyección directa common rail turbo intercooler,4 en línea,16,sí,no,N/D,"11,4 km/l","14,5 km/l","13,2 km/l",N/D,delantero - integral,manual 6 velocidades,265/65/R17,discos ventilados - tambor,"doble brazo con resortes, amortiguadores y barra estabilizadora","eje rígido, con elásticos longitudinales semiélipticos de acero y amortiguadores hidráulicos telescópicos",5335 mm,1855 mm,N/D,1815 mm,3085 mm,N/A dm3,80 l,N/D,N/D,227 mm,N/D,31°,26°,N/D,2000 kg,750 kg,N/D,N/D,N/D,climatizador bizona,sí,con ajuste manual,no tiene,tela,centralizado con comando a distancia,eléctricos - no tiene,"con luz de giro incorporadas, eléctricos",antideslumbrante manual,"con apagado automático, con regulación interna",delanteros,sí,hidráulica,aleación,no tiene,"con ajuste en altura y profundidad, multifunción",,,sí,sí,"conductor y acompañante, de cabeza delanteros (cortina), de rodilla conductor, laterales delanteros",inmovilizador de motor,sí,"delanteros inerciales, traseros inerciales",sí,"AM - FM con lector MP3, con comandos de audio al volante",2,sí,,táctil de 9'',"asistente para arranque en pendientes, control de estabilidad para remolques, sistema de bloqueo electrónico diferencial",sí,sí,sí,sí,,sí,,sí,,sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
