MARCA,TIPO PRODUCTO,Model Name,Engine,Drive,Transmission,Year,Model Name Simplified,Marca Simplified,Model URL,Engine Simplified,Drive Simplified,Transmission Simplified,Version URL
DFSK,CAMIONETA,D1 LUXURY,,4X4,MT,2024,d1 luxury,dfsk,https://www.autocosmos.cl/catalogo/vigente/dfsk/d1,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2024/dfsk/d1/luxury/177104
DONGFENG,CAMIONETA,DF 212 CS,,,MT,2024,df 212 cs,dongfeng,,nan,nan,mt,
FORD,CAMIONETA,MAVERICK LARIAT FX4 HEV,,,AT,2024,maverick lariat fx4 hev,ford,https://www.autocosmos.cl/catalogo/vigente/ford/maverick,nan,nan,at,https://www.autocosmos.cl/catalogo/2024/ford/maverick/20l-lariat-4x4/177184
FORD,CAMIONETA,MAVERICK XLT,2.0,4X2,AT,2024,maverick xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/maverick,20,4x2,at,https://www.autocosmos.cl/catalogo/2024/ford/maverick/20l-xlt/177183
FORD,CAMIONETA,RANGER DSL LIMITED,3.0,4X4,AT,2024,ranger dsl limited,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,30,4x4,at,https://www.autocosmos.cl/catalogo/2024/ford/ranger/30l-limited-4x4-aut/177200
FORD,CAMIONETA,RANGER DSL XL,2.0,4X2,MT,2024,ranger dsl xl,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,20,4x2,mt,https://www.autocosmos.cl/catalogo/2024/ford/ranger/20l-xl-4x2/177193
FORD,CAMIONETA,RANGER DSL XL,2.0,4X4,MT,2024,ranger dsl xl,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,20,4x4,mt,https://www.autocosmos.cl/catalogo/2024/ford/ranger/20l-xl-4x4/177194
FORD,CAMIONETA,RANGER DSL XLS,2.0,4X2,MT,2024,ranger dsl xls,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,20,4x2,mt,https://www.autocosmos.cl/catalogo/2024/ford/ranger/20l-xls-4x2/177195
FORD,CAMIONETA,RANGER DSL XLS,2.0,4X4,MT,2024,ranger dsl xls,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,20,4x4,mt,https://www.autocosmos.cl/catalogo/2024/ford/ranger/20l-xls-4x4/177196
FORD,CAMIONETA,RANGER DSL XLT,2.0,4X2,AT,2024,ranger dsl xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,20,4x2,at,https://www.autocosmos.cl/catalogo/2024/ford/ranger/20l-xl-4x2/177193
FORD,CAMIONETA,RANGER DSL XLT,2.0,4X4,AT,2024,ranger dsl xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,20,4x4,at,https://www.autocosmos.cl/catalogo/2024/ford/ranger/20l-xlt-4x4/177198
FORD,CAMIONETA,RANGER DSL XLT,2.0,4X4,MT,2024,ranger dsl xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,20,4x4,mt,https://www.autocosmos.cl/catalogo/2024/ford/ranger/20l-xlt-4x4/177198
FOTON,CAMIONETA,G7 LITE,,4X4,,2024,g7 lite,foton,https://www.autocosmos.cl/catalogo/vigente/foton/g7,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2024/foton/g7/20l-lite-4x4/177213
FOTON,CAMIONETA,G7 ULTIMATE,,4X2,,2024,g7 ultimate,foton,https://www.autocosmos.cl/catalogo/vigente/foton/g7,nan,4x2,nan,https://www.autocosmos.cl/catalogo/2024/foton/g7/20l-ultimate-4x2/177216
FOTON,CAMIONETA,G7 ULTIMATE,,4X4,,2024,g7 ultimate,foton,https://www.autocosmos.cl/catalogo/vigente/foton/g7,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2024/foton/g7/20l-ultimate-4x4/177217
GREAT WALL,CAMIONETA,POER DELUXE,,4X2,,2024,poer deluxe,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer,nan,4x2,nan,https://www.autocosmos.cl/catalogo/2024/great-wall/poer/deluxe-4x2/177249
GREAT WALL,CAMIONETA,POER ELITE,,4X2,,2024,poer elite,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer,nan,4x2,nan,https://www.autocosmos.cl/catalogo/2024/great-wall/poer/elite-4x2/177251
GREAT WALL,CAMIONETA,POER ELITE PANT,,4X2,,2024,poer elite pant,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer,nan,4x2,nan,https://www.autocosmos.cl/catalogo/2024/great-wall/poer/elite-4x2-pant/178403
GREAT WALL,CAMIONETA,POER DELUXE,,4X4,,2024,poer deluxe,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2024/great-wall/poer/deluxe-4x4/177250
GREAT WALL,CAMIONETA,POER ELITE,,4X4,,2024,poer elite,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2024/great-wall/poer/elite-4x4/177252
GREAT WALL,CAMIONETA,POER ELITE PANT,,4X4,,2024,poer elite pant,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2024/great-wall/poer/elite-4x4-pant/178404
GREAT WALL,CAMIONETA,POER PLUS ELITE,,4X2,,2024,poer plus elite,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer,nan,4x2,nan,https://www.autocosmos.cl/catalogo/2024/great-wall/poer/elite-4x2/177251
GREAT WALL,CAMIONETA,POER PLUS DELUXE,,4X4,,2024,poer plus deluxe,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2024/great-wall/poer/deluxe-4x4/177250
GREAT WALL,CAMIONETA,POER PLUS ELITE,,4X4,,2024,poer plus elite,great wall,https://www.autocosmos.cl/catalogo/vigente/great-wall/poer,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2024/great-wall/poer/elite-4x4/177252
GREAT WALL,CAMIONETA,WINGLE 7 ELITE,,4X2,,2024,wingle 7 elite,great wall,,nan,4x2,nan,
GREAT WALL,CAMIONETA,WINGLE 7 ELITE PLUS,,4X4,,2024,wingle 7 elite plus,great wall,,nan,4x4,nan,
JAC,CAMIONETA,T8 CE COMFORT,2.0T,4X2,MT,2024,t8 ce comfort,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t8,20t,4x2,mt,https://www.autocosmos.cl/catalogo/2024/jac/t8/20l-comfort-4x2/177371
JAC,CAMIONETA,T8 CE COMFORT,2.0T,4X4,MT,2024,t8 ce comfort,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t8,20t,4x4,mt,https://www.autocosmos.cl/catalogo/2024/jac/t8/20l-advance-4x4/177374
JAC,CAMIONETA,T8 PRO ADVANCE,,4X4,MT,2024,t8 pro advance,jac,https://www.autocosmos.cl/catalogo/vigente/jac/t8,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2024/jac/t8/20l-advance-4x4/177374
