marca,numero licitacion,id producto,tipo producto,model name,engine,drive,transmission,year,model name simplified,marca simplified,model url,engine simplified,drive simplified,transmission simplified,Version URL
chevrolet,2239-4-lr17,1670297,camioneta,colorado hc 2.8td,,4WD,AT,,colorado hc 28td,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado,nan,4wd,at,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-worktruck/178910
chevrolet,2239-4-lr17,1670298,camioneta,colorado hc 2.8td l,,4WD,AT,,colorado hc 28td l,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado,nan,4wd,at,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-ltz-awd-aut/178881
chevrolet,2239-8-lr23,2042976,camioneta,colorado high country,,4X4,AT,2024.0,colorado high country,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado,nan,4x4,at,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-high-country-awd-aut/178880
chevrolet,2239-8-lr23,2042890,camioneta,colorado ls,,4X2,MT,2024.0,colorado ls,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-ltz-awd-aut/178881
chevrolet,2239-8-lr23,2042924,camioneta,colorado lt,,4X4,AT,2024.0,colorado lt,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado,nan,4x4,at,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-ltz-awd-aut/178881
chevrolet,2239-8-lr23,2042907,camioneta,colorado lt,,4X4,MT,2024.0,colorado lt,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-ltz-awd-aut/178881
chevrolet,2239-4-lr17,1670299,camioneta,colorado lt 2.8td m,,4WD,AT,,colorado lt 28td m,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado,nan,4wd,at,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-ltz-awd-aut/178881
chevrolet,2239-4-lr17,1670300,camioneta,colorado lt 2.8td m,,4WD,MT,,colorado lt 28td m,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado,nan,4wd,mt,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-ltz-awd-aut/178881
chevrolet,2239-8-lr23,2042958,camioneta,colorado ltz,,4X4,AT,2024.0,colorado ltz,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado,nan,4x4,at,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-ltz-awd-aut/178881
chevrolet,2239-4-lr17,1670301,camioneta,colorado ltz 2.8td,,4WD,AT,,colorado ltz 28td,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado,nan,4wd,at,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-ltz-awd-aut/178881
chevrolet,2239-4-lr17,1670302,camioneta,colorado ltz 2.8td l,,4WD,AT,,colorado ltz 28td l,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado,nan,4wd,at,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-ltz-awd-aut/178881
chevrolet,2239-8-lr23,2042941,camioneta,colorado z71,,4X4,AT,2024.0,colorado z71,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/colorado,nan,4x4,at,https://www.autocosmos.cl/catalogo/2025/chevrolet/colorado/28l-ltz-awd-aut/178881
chevrolet,2239-8-lr23,2042801,camioneta,montana t lt,1.2,,MT,2024.0,montana t lt,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/montana,12,nan,mt,https://www.autocosmos.cl/catalogo/2025/chevrolet/montana/lt-s-12/180114
chevrolet,2239-8-lr23,2042818,camioneta,montana t ltz,1.2,,AT,2024.0,montana t ltz,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/montana,12,nan,at,https://www.autocosmos.cl/catalogo/2025/chevrolet/montana/lt-s-12/180114
chevrolet,2239-8-lr23,2042852,camioneta,montana t premier,1.2,,AT,2024.0,montana t premier,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/montana,12,nan,at,https://www.autocosmos.cl/catalogo/2025/chevrolet/montana/premier-s-12/180115
chevrolet,2239-8-lr23,2042835,camioneta,montana t premier,1.2,,MT,2024.0,montana t premier,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/montana,12,nan,mt,https://www.autocosmos.cl/catalogo/2025/chevrolet/montana/premier-s-12/180115
chevrolet,2239-8-lr23,2042869,camioneta,montana t rs,1.2,,AT,2024.0,montana t rs,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/montana,12,nan,at,https://www.autocosmos.cl/catalogo/2025/chevrolet/montana/lt-s-12/180114
chevrolet,2239-4-lr17,1670541,camioneta,silverado 3.0l diesel ltz,,4X4,,,silverado 30l diesel ltz,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/chevrolet/silverado/53l-lt-trailboss-4x4/178886
chevrolet,2239-4-lr17,1670542,camioneta,silverado 5.3l lt trailboss,,4X4,,,silverado 53l lt trailboss,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/chevrolet/silverado/53l-lt-trailboss-4x4/178886
chevrolet,2239-4-lr17,1670543,camioneta,silverado 5.3l ltz,,4X4,,,silverado 53l ltz,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado,nan,4x4,nan,https://www.autocosmos.cl/catalogo/2025/chevrolet/silverado/53l-lt-trailboss-4x4/178886
chevrolet,2239-4-lr17,1670544,camioneta,silverado cc lt tb 5.3l,,,,,silverado cc lt tb 53l,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/chevrolet/silverado/53l-lt-trailboss-4x4/178886
chevrolet,2239-4-lr17,1670545,camioneta,silverado cc lt tb 5.3l l,,,,,silverado cc lt tb 53l l,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/chevrolet/silverado/53l-lt-trailboss-4x4/178886
chevrolet,2239-4-lr17,1670546,camioneta,silverado cc ltz 3.0td,,,,,silverado cc ltz 30td,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/chevrolet/silverado/53l-lt-trailboss-4x4/178886
chevrolet,2239-4-lr17,1670547,camioneta,silverado cc ltz 5.3l,,,,,silverado cc ltz 53l,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/chevrolet/silverado/53l-lt-trailboss-4x4/178886
chevrolet,2239-4-lr17,1670548,camioneta,silverado cc ltz 5.3l l,,,,,silverado cc ltz 53l l,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado,nan,nan,nan,https://www.autocosmos.cl/catalogo/2025/chevrolet/silverado/53l-lt-trailboss-4x4/178886
chevrolet,2239-8-lr23,2043022,camioneta,silverado hc td,3.0,4X4,AT,2024.0,silverado hc td,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado,30,4x4,at,https://www.autocosmos.cl/catalogo/2025/chevrolet/silverado/53l-lt-trailboss-4x4/178886
chevrolet,2239-8-lr23,2042988,camioneta,silverado lt trail boss z71 5.3l v8,,4X4,AT,2024.0,silverado lt trail boss z71 53l v8,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado,nan,4x4,at,https://www.autocosmos.cl/catalogo/2025/chevrolet/silverado/53l-lt-trailboss-4x4/178886
chevrolet,2239-8-lr23,2043005,camioneta,silverado zr2 6.2l v8,,4X4,AT,2024.0,silverado zr2 62l v8,chevrolet,https://www.autocosmos.cl/catalogo/vigente/chevrolet/silverado,nan,4x4,at,https://www.autocosmos.cl/catalogo/2025/chevrolet/silverado/62l-zr2-4x4-s/178887
dfsk,2239-8-lr23,2244200,camioneta,d1 comfort,,4X2,MT,2025.0,d1 comfort,dfsk,https://www.autocosmos.cl/catalogo/vigente/dfsk/d1,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2025/dfsk/d1/comfort/178974
dfsk,2239-8-lr23,2042600,camioneta,d1 confort,,4X2,MT,2024.0,d1 confort,dfsk,https://www.autocosmos.cl/catalogo/vigente/dfsk/d1,nan,4x2,mt,https://www.autocosmos.cl/catalogo/2025/dfsk/d1/comfort/178974
dfsk,2239-8-lr23,2042634,camioneta,d1 luxury,,4X4,AT,2024.0,d1 luxury,dfsk,https://www.autocosmos.cl/catalogo/vigente/dfsk/d1,nan,4x4,at,https://www.autocosmos.cl/catalogo/2025/dfsk/d1/luxury/178975
dfsk,2239-8-lr23,2042617,camioneta,d1 luxury,,4X4,MT,2024.0,d1 luxury,dfsk,https://www.autocosmos.cl/catalogo/vigente/dfsk/d1,nan,4x4,mt,https://www.autocosmos.cl/catalogo/2025/dfsk/d1/luxury/178975
dongfeng,2239-8-lr23,2060025,camioneta,df 212 cs,,,MT,2024.0,df 212 cs,dongfeng,https://www.autocosmos.cl/catalogo/vigente/dongfeng/aeolus-gs-cross,nan,nan,mt,https://www.autocosmos.cl/catalogo/2025/dongfeng/aeolus-gs-cross/15l/178992
fiat,2239-4-lr17,1670513,camioneta,ram 700 slt dc,1.4,,MT,,ram 700 slt dc,fiat,https://www.autocosmos.cl/catalogo/vigente/fiat/ducato,14,nan,mt,https://www.autocosmos.cl/catalogo/2025/fiat/ducato/23l-maxi-cargo-l2h2/179008
ford,2239-8-lr23,2244455,camioneta,f-150 dc 2.7l xlt,,4X2,AT,2025.0,f150 dc 27l xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/f-150,nan,4x2,at,https://www.autocosmos.cl/catalogo/2025/ford/f-150/50l-xlt-4x4/179026
ford,2239-8-lr23,2244489,camioneta,f-150 dc 5.0l lariat black,,4X4,AT,2025.0,f150 dc 50l lariat black,ford,https://www.autocosmos.cl/catalogo/vigente/ford/f-150,nan,4x4,at,https://www.autocosmos.cl/catalogo/2025/ford/f-150/50l-lariat-black-4x4/180441
ford,2239-8-lr23,2244506,camioneta,f-150 dc 5.0l lariat luxury,,4X4,AT,2025.0,f150 dc 50l lariat luxury,ford,https://www.autocosmos.cl/catalogo/vigente/ford/f-150,nan,4x4,at,https://www.autocosmos.cl/catalogo/2025/ford/f-150/50l-lariat-luxury-4x4/179027
ford,2239-8-lr23,2244472,camioneta,f-150 dc 5.0l xlt,,4X4,AT,2025.0,f150 dc 50l xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/f-150,nan,4x4,at,https://www.autocosmos.cl/catalogo/2025/ford/f-150/50l-xlt-4x4/179026
ford,2239-8-lr23,2244268,camioneta,maverick lariat,2.0,4X4,AT,,maverick lariat,ford,https://www.autocosmos.cl/catalogo/vigente/ford/maverick,20,4x4,at,https://www.autocosmos.cl/catalogo/2025/ford/maverick/20l-lariat-black/180442
ford,2239-8-lr23,2244285,camioneta,maverick lariat fx4 hev,,,AT,,maverick lariat fx4 hev,ford,https://www.autocosmos.cl/catalogo/vigente/ford/maverick,nan,nan,at,https://www.autocosmos.cl/catalogo/2025/ford/maverick/20l-lariat-black/180442
ford,2239-8-lr23,2244251,camioneta,maverick xlt,2.0,4X2,AT,,maverick xlt,ford,https://www.autocosmos.cl/catalogo/vigente/ford/maverick,20,4x2,at,https://www.autocosmos.cl/catalogo/2025/ford/maverick/20l-xlt/179033
ford,2239-4-lr17,1670516,camioneta,ranger 2.2l tdci xl,,4X2,,,ranger 22l tdci xl,ford,https://www.autocosmos.cl/catalogo/vigente/ford/ranger,nan,4x2,nan,https://www.autocosmos.cl/catalogo/2025/ford/ranger/20l-xl-4x2/179041
