Modelo,ID,our_id
- minibus pesado,"[1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593, 1536593]",32
- radiopatrulla at calabozo,"[1648716, 1648716, 1648716, 1648716]",33
- sedán,"[1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582, 1536582]",34
- sedán radiopatrulla at,"[1595168, 1595168, 1595168]",35
- suv,"[1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580, 1536580]",36
- suv 4x2 at z,"[1648717, 1648717, 1648717, 1648717, 1648717]",37
- suv 4x2 at z patrulla compuesta,[1823306],38
- suv 4x4 at z,"[1560956, 1560956, 1560956]",39
- suv 4x4 at z patrulla compuesta,"[1648718, 1648718, 1648718, 1648718, 1648718]",40
- taxibús,"[1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594, 1536594]",41
- tolva,"[1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590, 1536590]",42
- tracto,"[1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589, 1536589]",43
agrale ma 9.2 rural,"[1673053, 1673054]",44
astra hd9 64.48 16m3 at 2024,"[2061092, 2061093, 2061094, 2061095, 2061096, 2061100, 2061101]",45
astra hd9 84.48 22m3 at 2024,"[2061109, 2061110, 2061111, 2061112, 2061113, 2061117, 2061118]",46
avr sembradora de papas uh3710,[1623617],47
baic bj40p diesel premium 4x4 2024,"[2047527, 2047528, 2047529]",48
baic bj40p gasolina elite 4x2 2024,"[2047510, 2047511, 2047514, 2047516, 2047517]",49
baic bj40p gasolina luxury 4x4 2024,"[2047544, 2047545, 2047546]",50
baic eu5 ev 2024,"[2044994, 2044999, 2044997, 2045000, 2045003, 2045002, 2045001, 2045004, 2045009]",51
baic x35 1.5t cvt luxury 2024,"[2047459, 2047462, 2047465, 2047460, 2047466]",52
baic x35 1.5t mt comfort 2024,"[2047425, 2047431, 2047432]",53
baic x35 1.5t mt elite 2024,"[2047442, 2047443, 2047444, 2047445, 2047448, 2047449]",54
baic x55 e6 1.5t mt comfort 2024,"[2047476, 2047477, 2047478, 2047479, 2047482, 2047483]",55
baic x55 e6 1.5t mt elite 2024,"[2047494, 2047496, 2047499, 2047495, 2047500]",56
baic x55 plus comfort 2024,"[2047561, 2047562, 2047567]",57
baic x55 plus elite 2024,"[2047578, 2047579, 2047585]",58
baic x55 plus luxury 2024,"[2047596, 2047598, 2047601, 2047602]",59
beiben 1635 4x2,"[1671212, 1671213, 1671214, 1671215, 1671218]",60
beiben 1635 4x2 amt,"[1671220, 1671221, 1671222]",61
beiben 1635 4x4,[1671216],62
beiben 1635 6x2 amt,[1671223],63
beiben 1635 6x6,[1671229],64
beiben 2535 6 x 4,[1671228],65
beiben 2535 6x4,"[1671224, 1671225, 1671227, 1672937]",66
beiben 2535 6x4 amt,[1671226],67
beiben 2535 6x4 cabina simple 3.800+1450 14m3,[1539085],68
beiben 4840 8x4,[1671230],69
beiben 4840 8x4 aljibe 30.000 lts,[1621233],70
beiben 4840 8x4 cabina simple rockera 22m3,[1539084],71
beiben 4840 8x8,[1672938],72
beiben 49840 8x8,[1671231],73
bobcat acondicionador de suelos 72 pulgadas,[1623618],74
bobcat b730,[1623369],75
bobcat b730r ,[1842227],76
bobcat balde uso gral,[1623619],77
bobcat barredora 60 pulgadas,[1623620],78
bobcat barredora 72 pulgadas,[1623621],79
bobcat barredora 72 pulgadas escobillon lateral,[1623622],80
bobcat barredora algular 68 pulgadas,[1623623],81
bobcat barreno 30h,[1623624],82
bobcat barreno 35ph,[1623625],83
bobcat brazo excavador 7hb,[1631683],84
