Modelo,ID,our_id
hino  cargo hino fg1726 l pickup 2021,"[1672318, 1672318]",1248
hino  cargo hino fg1726 pickup 2021,"[1672335, 1672335]",1249
hino  cargo hino fm cargo estanque aljibe 15 m3 2021,"[1672379, 1672379]",1250
hino  cargo hino fm cargo plataforma 2021,"[1672378, 1672378]",1251
hino  cargo hino gh 1826 10.000lts aljibe 2021,"[1672260, 1672260]",1252
hino  cargo hino gh 1826 15m3 recolector 2021,"[1672259, 1672259]",1253
hino  cargo hino gh 1826 19m3 recolector 2021,"[1672258, 1672258]",1254
hino  cargo hino gh 1826 3er eje recolector 20 m3 2021,"[1672377, 1672377]",1255
hino  cargo hino gh 1826 6x2 cg,"[1671674, 1671674]",1256
hino  cargo hino gh 1826 6x2 cgr,"[1671675, 1671675]",1257
hino  cargo hino gh 1826 6x2 pickup,"[1671646, 1671646]",1258
hino  cargo hino gh 1826 6x2 recolector 20m3,"[1671617, 1671617]",1259
hino  cargo hino gh 1826 aljibe 10 m3,"[1671594, 1671594]",1260
hino  cargo hino gh 1826 aljibe 10m3 2021,"[1672316, 1672316]",1261
hino  cargo hino gh 1826 aljibe 10m3 carbono,"[1671592, 1671592]",1262
hino  cargo hino gh 1826 aljibe 10m3 connect 2021,"[1672317, 1672317]",1263
hino  cargo hino gh 1826 aljibe 10m3 inox,"[1671593, 1671593]",1264
hino  cargo hino gh 1826 cg,"[1671672, 1671672]",1265
hino  cargo hino gh 1826 cg 2021,"[1672263, 1672263]",1266
hino  cargo hino gh 1826 cgr,"[1671673, 1671673]",1267
hino  cargo hino gh 1826 cgr 2021,"[1672262, 1672262]",1268
hino  cargo hino gh 1826 estanque aljibe 10 m3,"[1672389, 1672389]",1269
hino  cargo hino gh 1826 estanque aljibe 10 m3 2021,"[1672375, 1672375]",1270
hino  cargo hino gh 1826 estanque aljibe 10 m3 connect 2021,"[1672376, 1672376]",1271
hino  cargo hino gh 1826 estanque aljibe 15 m3,"[1672388, 1672388]",1272
hino  cargo hino gh 1826 estanque aljibe 15 m3 2021,"[1672257, 1672257]",1273
hino  cargo hino gh 1826 full estanque 10 m3 2021,"[1672256, 1672256]",1274
hino  cargo hino gh 1826 full estanque petroleo 10 m3,"[1671696, 1671696]",1275
hino  cargo hino gh 1826 l 10.000lts aljibe 2021,"[1672311, 1672311]",1276
hino  cargo hino gh 1826 l 15m3 recolector 2021,"[1672310, 1672310]",1277
hino  cargo hino gh 1826 l 19m3 recolector 2021,"[1672309, 1672309]",1278
hino  cargo hino gh 1826 l cg 2021,"[1672315, 1672315]",1279
hino  cargo hino gh 1826 l cgr 2021,"[1672314, 1672314]",1280
hino  cargo hino gh 1826 l pickup 2021,"[1672313, 1672313]",1281
hino  cargo hino gh 1826 l plataforma 2021,"[1672312, 1672312]",1282
hino  cargo hino gh 1826 pickup,"[1671645, 1671645]",1283
hino  cargo hino gh 1826 pickup 2021,"[1672261, 1672261]",1284
hino  cargo hino gh 1826 plataforma,"[1671625, 1671625]",1285
hino  cargo hino gh 1826 plataforma 2021,"[1672374, 1672374]",1286
hino  cargo hino gh 1826 recolector 12 m3 2021,"[1672373, 1672373]",1287
hino  cargo hino gh 1826 recolector 15m3,"[1671616, 1671616]",1288
hino  cargo hino gh 1826 recolector 15m3 2021,"[1672308, 1672308]",1289
hino  cargo hino gh 1826 recolector 20m3 2021,"[1672307, 1672307]",1290
hino  cargo hino gh 1835 15m3 recolector 2021,"[1672208, 1672208]",1291
hino  cargo hino gh 1835 19m3 recolector 2021,"[1672206, 1672206]",1292
hino  cargo hino gh 1835 21m3 recolector 2021,"[1672207, 1672207]",1293
hino  cargo hino gh 1835 6x2 cg,"[1671707, 1671707]",1294
hino  cargo hino gh 1835 6x2 cgr,"[1671708, 1671708]",1295
hino  cargo hino gh 1835 6x2 pickup,"[1671658, 1671658]",1296
hino  cargo hino gh 1835 6x2 recolector 20m3,"[1671623, 1671623]",1297
hino  cargo hino gh 1835 8 m3 hidrojet 2021,"[1672211, 1672211]",1298
hino  cargo hino gh 1835 aljibe 10 m3,"[1671603, 1671603]",1299
hino  cargo hino gh 1835 aljibe 10m3 carbono,"[1671601, 1671601]",1300
hino  cargo hino gh 1835 aljibe 10m3 inox,"[1671602, 1671602]",1301
hino  cargo hino gh 1835 aljibe 15.000 lts.2021,"[1672209, 1672209]",1302
hino  cargo hino gh 1835 aljibe connect 15.000 lts. 2021,"[1672210, 1672210]",1303
hino  cargo hino gh 1835 cg,"[1671705, 1671705]",1304
hino  cargo hino gh 1835 cgr,"[1671706, 1671706]",1305
hino  cargo hino gh 1835 full estanque petroleo 10 m3,"[1671709, 1671709]",1306
hino  cargo hino gh 1835 pickup,"[1671657, 1671657]",1307
hino  cargo hino gh 1835 plataforma,"[1671637, 1671637]",1308
hino  cargo hino gh 1835 recolector 15m3,"[1671622, 1671622]",1309
hino  cargo hino gh1826 15 m3 recolector 2021,"[1672301, 1672301]",1310
hino  cargo hino gh1826 6x2 20 m3 recolector 2021,"[1672296, 1672296]",1311
hino  cargo hino gh1826 6x2 aljibe 12 m3 2021,"[1672295, 1672295]",1312
hino  cargo hino gh1826 6x2 aljibe 12 m3 regador 2021,"[1672294, 1672294]",1313
hino  cargo hino gh1826 6x2 cg 2021,"[1672300, 1672300]",1314
hino  cargo hino gh1826 6x2 cgr 2021,"[1672299, 1672299]",1315
hino  cargo hino gh1826 6x2 cisterna 2021,"[1672298, 1672298]",1316
hino  cargo hino gh1826 6x2 pickup 2021,"[1672297, 1672297]",1317
hino  cargo hino gh1826 aljibe 10 m3 2021,"[1672293, 1672293]",1318
hino  cargo hino gh1826 aljibe 10 m3 regador 2021,"[1672292, 1672292]",1319
hino  cargo hino gh1826 cg 2021,"[1672306, 1672306]",1320
hino  cargo hino gh1826 cgr 2021,"[1672305, 1672305]",1321
hino  cargo hino gh1826 cisterna 2021,"[1672304, 1672304]",1322
hino  cargo hino gh1826 l cg 2021,"[1672291, 1672291]",1323
hino  cargo hino gh1826 l pickup 2021,"[1672290, 1672290]",1324
hino  cargo hino gh1826 pickup 2021,"[1672303, 1672303]",1325
hino  cargo hino gh1826 plataforma 2021,"[1672302, 1672302]",1326
hino  cargo hino hino xzu 917 sl a/c plataforma 2021,"[1672289, 1672289]",1327
hino  cargo hino new fm cargo 15.000lts aljibe 2021,"[1672284, 1672284]",1328
hino  cargo hino new fm cargo 15.000lts aljibe carbono,"[1671595, 1671595]",1329
hino  cargo hino new fm cargo 6x4 cisterna 2021,"[1672283, 1672283]",1330
hino  cargo hino new fm cargo aljibe 15 m3 2021,"[1672282, 1672282]",1331
hino  cargo hino new fm cargo aljibe 15 m3 aljibe inox,"[1671596, 1671596]",1332
hino  cargo hino new fm cargo aljibe 15 m3 regador 2021,"[1672281, 1672281]",1333
hino  cargo hino new fm cargo cg,"[1671676, 1671676]",1334
hino  cargo hino new fm cargo cg 2021,"[1672288, 1672288]",1335
hino  cargo hino new fm cargo cgr,"[1671677, 1671677]",1336
hino  cargo hino new fm cargo cgr 2021,"[1672287, 1672287]",1337
hino  cargo hino new fm cargo pickup,"[1671647, 1671647]",1338
hino  cargo hino new fm cargo pickup 2021,"[1672286, 1672286]",1339
hino  cargo hino new fm cargo plataforma,"[1671628, 1671628]",1340
hino  cargo hino new fm cargo plataforma 2021,"[1672285, 1672285]",1341
hino  cargo hino new fm cargo recolector de 15 m3,"[1671621, 1671621]",1342
hino  cargo hino new fm cargo recolector de 19 m3,"[1671620, 1671620]",1343
hino  cargo hino xzu 515 at cg 2021,"[1672229, 1672229]",1344
hino  cargo hino xzu 515 at cgr 2021,"[1672220, 1672220]",1345
hino  cargo hino xzu 515 at pick up 2021,"[1672236, 1672236]",1346
hino  cargo hino xzu 515 at plataforma 2021,"[1672243, 1672243]",1347
hino  cargo hino xzu 515 cg,"[1671678, 1671678]",1348
hino  cargo hino xzu 515 cg 2021,"[1672228, 1672228]",1349
hino  cargo hino xzu 515 cgr,"[1671679, 1671679]",1350
hino  cargo hino xzu 515 cgr 2021,"[1672219, 1672219]",1351
hino  cargo hino xzu 515 pick up 2021,"[1672235, 1672235]",1352
hino  cargo hino xzu 515 pickup,"[1671648, 1671648]",1353
hino  cargo hino xzu 515 plataforma,"[1671629, 1671629]",1354
hino  cargo hino xzu 515 plataforma 2021,"[1672242, 1672242]",1355
hino  cargo hino xzu 616 at cg 2021,"[1672227, 1672227]",1356
hino  cargo hino xzu 616 at cgr 2021,"[1672218, 1672218]",1357
hino  cargo hino xzu 616 at pick up2021,"[1672234, 1672234]",1358
hino  cargo hino xzu 616 at plataforma 2021,"[1672241, 1672241]",1359
hino  cargo hino xzu 616 barandas altas reciclaje,"[1671682, 1671682]",1360
hino  cargo hino xzu 616 cg,"[1671680, 1671680]",1361
hino  cargo hino xzu 616 cg 2021,"[1672226, 1672226]",1362
hino  cargo hino xzu 616 cgr,"[1671681, 1671681]",1363
hino  cargo hino xzu 616 cgr 2021,"[1672217, 1672217]",1364
hino  cargo hino xzu 616 pick up 2021,"[1672233, 1672233]",1365
hino  cargo hino xzu 616 pickup,"[1671649, 1671649]",1366
hino  cargo hino xzu 616 plataforma,"[1671630, 1671630]",1367
hino  cargo hino xzu 616 plataforma 2021,"[1672240, 1672240]",1368
hino  cargo hino xzu 617 cg,"[1671661, 1671661]",1369
hino  cargo hino xzu 617 d/c ac cgr 2020,"[1672249, 1672249]",1370
hino  cargo hino xzu 617 d/c alzador pickup 2021,"[1672246, 1672246]",1371
hino  cargo hino xzu 617 d/c pickup 2021,"[1672248, 1672248]",1372
hino  cargo hino xzu 617 d/c plataforma 2021,"[1672247, 1672247]",1373
hino  cargo hino xzu 617 dc barandas,"[1671660, 1671660]",1374
hino  cargo hino xzu 617 dc barandas altas reciclaje,"[1671851, 1671851]",1375
hino  cargo hino xzu 617 dc carga genera 2021,"[1672250, 1672250]",1376
hino  cargo hino xzu 617 dc cgr,"[1671683, 1671683]",1377
hino  cargo hino xzu 617 dc pickup,"[1671650, 1671650]",1378
hino  cargo hino xzu 617 dc plataforma 2021,"[1672251, 1672251]",1379
hino  cargo hino xzu 617 dc plataforma 4200,"[1671631, 1671631]",1380
hino  cargo hino xzu 717 barandas altas reciclaje,"[1671710, 1671710]",1381
hino  cargo hino xzu 717 cg,"[1671684, 1671684]",1382
hino  cargo hino xzu 717 cg 2021,"[1672225, 1672225]",1383
hino  cargo hino xzu 717 cgr,"[1671685, 1671685]",1384
hino  cargo hino xzu 717 cgr 2021,"[1672216, 1672216]",1385
hino  cargo hino xzu 717 estanque petroleo 4 m3,"[1671697, 1671697]",1386
hino  cargo hino xzu 717 pick up 2021,"[1672232, 1672232]",1387
hino  cargo hino xzu 717 pickup,"[1671651, 1671651]",1388
hino  cargo hino xzu 717 plataforma,"[1671632, 1671632]",1389
hino  cargo hino xzu 717 plataforma 2021,"[1672239, 1672239]",1390
hino  cargo hino xzu 816 xl at cg,[1671690],1391
hino  cargo hino xzu 816 xl at cg 2021,[1672280],1392
hino  cargo hino xzu 816 xl at cgr,[1671691],1393
hino  cargo hino xzu 816 xl at cgr 2021,[1672279],1394
hino  cargo hino xzu 816 xl at estanque aljibe,[1671585],1395
hino  cargo hino xzu 816 xl at estanque aljibe 2021,[1672372],1396
hino  cargo hino xzu 816 xl at pickup,[1671654],1397
hino  cargo hino xzu 816 xl at pickup 2021,[1672278],1398
hino  cargo hino xzu 816 xl at plataforma,[1671635],1399
hino  cargo hino xzu 816 xl at plataforma 2021,[1672277],1400
hino  cargo hino xzu 816 xl at recolector,[1671614],1401
hino  cargo hino xzu 816 xl at recolector 2021,[1672371],1402
hino  cargo hino xzu 817 alzador pickup 2021,"[1672244, 1672244]",1403
hino  cargo hino xzu 817 cg,"[1671686, 1671686]",1404
hino  cargo hino xzu 817 cg 2021,"[1672224, 1672224]",1405
hino  cargo hino xzu 817 cgr,"[1671687, 1671687]",1406
hino  cargo hino xzu 817 cgr 2021,"[1672215, 1672215]",1407
hino  cargo hino xzu 817 e5 estanque petroleo 5 m3,"[1671698, 1671698]",1408
hino  cargo hino xzu 817 estanque 4 m3 2021,"[1672255, 1672255]",1409
hino  cargo hino xzu 817 pick up 2021,"[1672231, 1672231]",1410
hino  cargo hino xzu 817 pickup,"[1671652, 1671652]",1411
hino  cargo hino xzu 817 pickup pickup 2021,"[1672254, 1672254]",1412
hino  cargo hino xzu 817 plataforma,"[1671633, 1671633]",1413
hino  cargo hino xzu 817 plataforma 2021,"[1672238, 1672238]",1414
hino  cargo hino xzu 917 alzador pickup 2021,"[1672245, 1672245]",1415
hino  cargo hino xzu 917 barandas altas reciclaje,"[1671699, 1671699]",1416
hino  cargo hino xzu 917 cg,"[1671688, 1671688]",1417
hino  cargo hino xzu 917 cg 2021,"[1672223, 1672223]",1418
hino  cargo hino xzu 917 cgr,"[1671689, 1671689]",1419
hino  cargo hino xzu 917 cgr 2021,"[1672214, 1672214]",1420
hino  cargo hino xzu 917 e5 estanque petroleo 5 m3,"[1671700, 1671700]",1421
hino  cargo hino xzu 917 estanque 5 m3 2021,"[1672253, 1672253]",1422
hino  cargo hino xzu 917 pickup,"[1671653, 1671653]",1423
hino  cargo hino xzu 917 pickup 2021,"[1672230, 1672230]",1424
hino  cargo hino xzu 917 pickup pickup 2021,"[1672252, 1672252]",1425
hino  cargo hino xzu 917 plataforma,"[1671634, 1671634]",1426
hino  cargo hino xzu 917 plataforma 2021,"[1672237, 1672237]",1427
hino  fc 1118 full,"[1672160, 1672164, 1672172, 1672160, 1672164, 1672172]",1428
hino  fc 1118 full 5.000kg,"[1671390, 1671390]",1429
hino  fc 1118 full 5.000lts,"[1671392, 1671391, 1671391, 1671392]",1430
hino  fc 1118 full 5000kg,"[1671393, 1671394, 1671395, 1671393, 1671394, 1671395]",1431
hino  fc 1118 mt plataforma 2024,"[2057321, 2057322, 2057323, 2057324, 2057325, 2057326, 2057327, 2057328, 2057329, 2057330, 2057331, 2057332, 2057334, 2057335, 2057336]",1432
hino  fd 1121 full,"[1672162, 1672166, 1672170, 1672174, 1672162, 1672166, 1672170, 1672174]",1433
hino  fd 1121 full 5.000kg,"[1671408, 1671408]",1434
hino  fd 1121 full 5.000lts,"[1671409, 1671410, 1671409, 1671410]",1435
hino  fd 1121 full 5000kg,"[1671411, 1671412, 1671413, 1671411, 1671412, 1671413]",1436
hino  fg 1726,"[1672175, 1672181, 1672187, 1672193, 1672200, 1672175, 1672181, 1672187, 1672193, 1672200]",1437
hino  fg 1726 10.000kg,"[1671414, 1671414]",1438
hino  fg 1726 10.000lts,"[1671415, 1671416, 1671415, 1671416]",1439
hino  fg 1726 10000kg,"[1671417, 1671418, 1671419, 1671417, 1671418, 1671419]",1440
hino  fg 1726 15m3,"[1671420, 1671420]",1441
hino  fg 1726 19m3,"[1671421, 1671421]",1442
hino  fg 1726 8m3,"[1672773, 1672773]",1443
hino  fg 1726 aljibe 10m3 carbono,"[1672573, 1672573, 1672573]",1444
hino  fg 1726 aljibe 10m3 inox,"[1672574, 1672574, 1672574]",1445
hino  fg 1726 at,"[1672177, 1672183, 1672189, 1672195, 1672202, 1672177, 1672183, 1672189, 1672195, 1672202]",1446
hino  fg 1726 at 10.000kg,"[1671422, 1671423, 1671422, 1671423]",1447
hino  fg 1726 at 10.000lts,"[1671424, 1671425, 1671424, 1671425]",1448
hino  fg 1726 at 10000kg,"[1671426, 1671427, 1671426, 1671427]",1449
hino  fg 1726 at 15m3,"[1671428, 1671428]",1450
hino  fg 1726 at 19m3,"[1671429, 1671429]",1451
hino  fg 1726 at 6x2 recolector 19 m3 con alza contenedor universal,"[1671606, 1671606]",1452
hino  fg 1726 at 8m3,"[1672775, 1672775]",1453
hino  fg 1726 at recolector 12 m3 con alza contenedor universa…,"[1672387, 1672387]",1454
hino  fg 1726 at recolector 15 m3 con alza contenedor universal,"[1672347, 1672347]",1455
hino  fg 1726 at recolector 15 m3 con alza contenedor universal higienizador,"[1672571, 1672571, 1671608, 1672571, 1671608]",1456
hino  fg 1726 at recolector 19 m3 con alza contenedor universal higienizador,"[1672572, 1672572, 1672572]",1457
hino  fg 1726 at recolector 19 m3 con alza contenedor universa…,"[1672384, 1672384]",1458
hino  fg 1726 con grúa hyva,[1668279],1459
hino  fg 1726 e5 full mt tolva 6 m3,"[1539112, 1539112, 1539112]",1460
hino  fg 1726 e5 full mt tolva 8 m3,"[1539114, 1539114]",1461
hino  fg 1726 l,"[1672176, 1672182, 1672188, 1672194, 1672201, 1672176, 1672182, 1672188, 1672194, 1672201]",1462
hino  fg 1726 l 10.000kg,"[1671430, 1671431, 1671430, 1671431]",1463
hino  fg 1726 l 10.000lts,"[1671432, 1671433, 1671432, 1671433]",1464
hino  fg 1726 l 10000kg,"[1671434, 1671435, 1671434, 1671435]",1465
hino  fg 1726 l 15m3,"[1671436, 1671436]",1466
hino  fg 1726 l 19m3,"[1671437, 1671437]",1467
hino  fg 1726 l 8m3,"[1672774, 1672774]",1468
hino  fg 1726 mecanico 4x2 recolector 15 m3,"[1672579, 1672579, 1672579]",1469
hino  fg 1726 mt 6x2 recolector 19 m3 con alza contenedor universal,"[1671611, 1671611]",1470
hino  fg 1726 mt recolector 15 m3 con alza contenedor universal higienizador,"[1671613, 1671613]",1471
hino  fg 1726 recolector 20m3,"[1672578, 1672578, 1672578]",1472
hino  fg 1726 tolva 6 m3,"[1539113, 1539113]",1473
hino  fg 1726 tolva 8 m3,"[1539115, 1539115, 1539115]",1474
hino  fm cargo 3035 20.000lts,"[1671439, 1671440, 1671439, 1671440]",1475
hino  fm cargo 3035 20000kg,"[1671438, 1671441, 1671442, 1671443, 1671438, 1671441, 1671442, 1671443]",1476
hino  fm tolva,"[1672866, 1672866]",1477
hino  fm tolva 15m3,"[1672778, 1672778]",1478
hino  fs 3342 tolva 14 m3,"[1539116, 1539116]",1479
hino  fs 3342 tolva 15 m3,"[1539025, 1539025]",1480
hino  fs 3349 vxc tolva 14 m3,"[1539117, 1539117]",1481
hino  fs 3349 vxc tolva 15 m3,"[1539026, 1539026]",1482
hino  gh 1826,"[1672178, 1672184, 1672190, 1672196, 1672203, 1672178, 1672184, 1672190, 1672196]",1483
hino  gh 1826 10.000kg,"[1671444, 1671445, 1671444, 1671445]",1484
hino  gh 1826 10.000lts,"[1671446, 1671447, 1671446, 1671447]",1485
hino  gh 1826 10000kg,"[1671448, 1671449, 1671448, 1671449]",1486
hino  gh 1826 15m3,"[1671450, 1671450]",1487
hino  gh 1826 19m3,"[1671451, 1671451]",1488
hino  gh 1826 8m3,"[1672776, 1672776]",1489
hino  gh 1826 aljibe 10m3 carbono,"[1672575, 1672575, 1672575]",1490
hino  gh 1826 aljibe 10m3 inox,"[1672576, 1672576, 1672576]",1491
hino  gh 1826 con grúa hyva,[1668280],1492
hino  gh 1826 estanque aljibe 10 m3,"[1539020, 1539020, 1539020, 1539020]",1493
hino  gh 1826 estanque aljibe 15 m3,"[1539021, 1539021, 1539021, 1539021]",1494
hino  gh 1826 l,"[1672179, 1672185, 1672191, 1672197, 1672204, 1672179, 1672185, 1672191, 1672197, 1672204]",1495
hino  gh 1826 l 10.000kg,"[1671452, 1671453, 1671452, 1671453]",1496
hino  gh 1826 l 10.000lts,"[1671454, 1671455, 1671454, 1671455]",1497
hino  gh 1826 l 10000kg,"[1671456, 1671457, 1671456, 1671457]",1498
hino  gh 1826 l 15m3,"[1671458, 1671458]",1499
hino  gh 1826 l 19m3,"[1671459, 1671459]",1500
hino  gh 1826 l 8m3,"[1672777, 1672777]",1501
hino  gh 1826 recolector 15m3,"[1672582, 1672582, 1672582]",1502
hino  gh 1826 recolector 20m3,"[1672583, 1672583, 1672583]",1503
hino  gh 1835,"[1672180, 1672186, 1672192, 1672198, 1672205, 1672180, 1672186, 1672192, 1672198, 1672205]",1504
hino  gh 1835 10.000kg,"[1671460, 1671461, 1671460, 1671461]",1505
hino  gh 1835 10.000lts,"[1671462, 1671462]",1506
hino  gh 1835 10000kg,"[1671463, 1671464, 1671463, 1671464]",1507
hino  gh 1835 10000lts,"[1671465, 1671465]",1508
hino  gh 1835 15m3,"[1671466, 1671466]",1509
hino  gh 1835 19m3,"[1671467, 1671467]",1510
hino  new fm tolva 12 m3,"[1539030, 1539030]",1511
hino  tolva hino fc 1118 full barandas altas reciclaje,"[1672815, 1672815]",1512
hino  tolva hino fg 1726 8m3,"[1672784, 1672784]",1513
hino  tolva hino fg 1726 8m3 2021,"[1672893, 1672893]",1514
hino  tolva hino fg 1726 at 8m3 2021,"[1672892, 1672892]",1515
hino  tolva hino fg 1726 e5 full mt tolva 6 m3,"[1672788, 1672900, 1672788, 1672900]",1516
hino  tolva hino fg 1726 e5 full mt tolva 6 m3 2021,"[1672882, 1672882]",1517
hino  tolva hino fg 1726 e5 full mt tolva 8 m3,"[1672898, 1672898]",1518
hino  tolva hino fg 1726 e5 mt barandas altas reciclaje,"[1672823, 1672823]",1519
hino  tolva hino fg 1726 l 8m3 2021,"[1672891, 1672891]",1520
hino  tolva hino fg 1726 tolva 6 m3,"[1672899, 1672899]",1521
hino  tolva hino fg 1726 tolva 6 m3 2021,"[1672881, 1672881]",1522
hino  tolva hino fg 1726 tolva 8 m3,"[1672897, 1672897]",1523
hino  tolva hino fg 1726 tolva 8 m3 2021,"[1672880, 1672880]",1524
hino  tolva hino fg1726 4x2 6 m3,"[1672785, 1672785]",1525
hino  tolva hino fg1726 4x2 6 m3 2021,"[1672889, 1672889]",1526
hino  tolva hino fg1726 4x2 8 m3 2021,"[1672890, 1672890]",1527
hino  tolva hino fg1726 6x2 10 m3,"[1672786, 1672786]",1528
hino  tolva hino fg1726 6x2 10 m3 2021,"[1672888, 1672888]",1529
hino  tolva hino gh 1826 8m3,"[1672787, 1672787]",1530
hino  tolva hino gh 1826 8m3 2021,"[1672887, 1672887]",1531
hino  tolva hino gh 1826 l 8m3 2021,"[1672886, 1672886]",1532
hino  tolva hino gh 1835 10m3 2021,"[1672867, 1672867]",1533
hino  tolva hino gh 1835 4x2 6 m3,"[1672797, 1672797]",1534
hino  tolva hino gh 1835 4x2 8 m3,"[1672798, 1672798]",1535
hino  tolva hino gh 1835 6x2 10 m3,"[1672799, 1672799]",1536
hino  tolva hino gh 1835 8m3,"[1672796, 1672796]",1537
hino  tolva hino gh1826 4x2 6 m3,"[1672789, 1672789]",1538
hino  tolva hino gh1826 4x2 6 m3 2021,"[1672878, 1672878]",1539
hino  tolva hino gh1826 4x2 8 m3,"[1672790, 1672790]",1540
hino  tolva hino gh1826 4x2 8 m3 2021,"[1672875, 1672875]",1541
hino  tolva hino gh1826 4x2 tolva connect,"[1672876, 1672876]",1542
hino  tolva hino gh1826 6x2 10 m3,"[1672794, 1672794]",1543
hino  tolva hino gh1826 6x2 10 m3 2021,"[1672870, 1672870]",1544
hino  tolva hino gh1826 6x2 tolva connect,"[1672877, 1672877]",1545
hino  tolva hino new fm tolva 12 m3,"[1672791, 1672795, 1672901, 1672791, 1672795, 1672901]",1546
hino  tolva hino new fm tolva 12 m3 2021,"[1672874, 1672874]",1547
hino  tolva hino new fm tolva 6x4 12m3 2021,"[1672885, 1672885]",1548
hino  tolva hino xzu 616 barandas altas reciclaje,"[1672816, 1672816]",1549
hino  tolva hino xzu 617 dc a/c 4x2 municipalera 2021,"[1672884, 1672884]",1550
hino  tolva hino xzu 617 dc barandas altas reciclaje,"[1672822, 1672822]",1551
hino  tolva hino xzu 717 barandas altas reciclaje,"[1672819, 1672819]",1552
hino  tolva hino xzu 817 barandas altas reciclaje,"[1672800, 1672800]",1553
hino  tolva hino xzu 817 e5 tolva 3.5 m3,"[1672792, 1672792]",1554
hino  tolva hino xzu 817 tolva 3.5 m3,"[1672869, 1672869]",1555
hino  tolva hino xzu 817 tolva 3.5 m3 2021,"[1672873, 1672873]",1556
hino  tolva hino xzu 917 4x2 3.5 m3 2021,"[1672883, 1672883]",1557
hino  tolva hino xzu 917 barandas altas reciclaje,"[1672817, 1672817]",1558
hino  tolva hino xzu 917 tolva 4 m3,"[1672793, 1672868, 1672793, 1672868]",1559
hino  tolva hino xzu 917 tolva 4 m3 2021,"[1672872, 1672872]",1560
hino  xzu 515 at,"[1672128, 1672136, 1672144, 1672152, 1672128, 1672136, 1672144, 1672152]",1561
hino  xzu 515 at 1.500lts,"[1671525, 1671525]",1562
hino  xzu 515 at 2000kg,"[1671526, 1671527, 1671528, 1671529, 1671526, 1671527, 1671528, 1671529]",1563
hino  xzu 515 at 2000lts,"[1671530, 1671530]",1564
hino  xzu 515 at plataforma 2024,"[2059752, 2059753, 2059754, 2059755, 2059756, 2059757, 2059758, 2059759, 2059760, 2059761, 2059762, 2059763, 2059765, 2059766, 2059767]",1565
hino  xzu 515 mt plataforma 2024,"[2059769, 2059770, 2059771, 2059772, 2059773, 2059774, 2059775, 2059776, 2059777, 2059778, 2059779, 2059780, 2059782, 2059783, 2059784]",1566
hino  xzu 6.5 dc 3500kg,"[1671531, 1671532, 1671533, 1671534]",1567
hino  xzu 6.5 dc ac 3500kg,"[1671535, 1671536, 1671537, 1671538]",1568
hino  xzu 616,"[1672129, 1672137, 1672145, 1672153, 1672129, 1672137, 1672145, 1672153]",1569
hino  xzu 616 at,"[1672130, 1672138, 1672146, 1672154, 1672130, 1672138, 1672146, 1672154]",1570
hino  xzu 616 at 2.500kg,"[1671539, 1671540, 1671539, 1671540]",1571
hino  xzu 616 at 2.500lts,"[1671541, 1671542, 1671543, 1671544, 1671541, 1671542, 1671543, 1671544]",1572
hino  xzu 617 dc,"[1672131, 1672139, 1672147, 1672155, 1672131, 1672139, 1672147, 1672155]",1573
hino  xzu 717,"[1672132, 1672140, 1672148, 1672156, 1672132, 1672140, 1672148, 1672156]",1574
hino  xzu 717 mt plataforma 2024,"[2059786, 2059787, 2059788, 2059789, 2059790, 2059791, 2059792, 2059793, 2059794, 2059795, 2059796, 2059797, 2059799, 2059800, 2059801]",1575
hino  xzu 8.0 ac e10 tolva 3.5 m3,"[1539027, 1539027]",1576
hino  xzu 8.0 tolva 3.5 m3,"[1539028, 1539028]",1577
hino  xzu 8.5 e5 std tolva 4 m3,"[1539110, 1539110]",1578
hino  xzu 8.5 tolva 4 m3,"[1539111, 1539111]",1579
hino  xzu 816 xl at 5000kg,"[1671545, 1671546, 1671547, 1671548]",1580
hino  xzu 817,"[1672133, 1672141, 1672149, 1672157, 1672133, 1672141, 1672149, 1672157]",1581
hino  xzu 817 mt plataforma 2024,"[2057406, 2057407, 2057408, 2057409, 2057410, 2057411, 2057412, 2057413, 2057414, 2057415, 2057416, 2057417, 2057419, 2057420, 2057421]",1582
hino  xzu 917,"[1672134, 1672142, 1672150, 1672158, 1672134, 1672142, 1672150, 1672158]",1583
hino  xzu 917 5.000lts,"[1671549, 1671549]",1584
hino  xzu 917 5000kg,"[1671550, 1671551, 1671552, 1671553, 1671550, 1671551, 1671552, 1671553]",1585
hino  xzu 917 5000lts,"[1671554, 1671554]",1586
hino  xzu city 515,"[1672127, 1672135, 1672143, 1672151, 1672127, 1672135, 1672143, 1672151]",1587
hino  zs 4142 full tolva 18 m3,"[1539118, 1539118]",1588
hino  zs 4142 tolva 18 m3,"[1539029, 1539029]",1589
honda city ex 1.5 at,[1669997],1590
honda city ex 1.5 mt,[1669998],1591
honda city lx 1.5 at,[1669999],1592
honda city lx 1.5 mt,[1670000],1593
honda civic sedan ex 2.0 cvt,[1670003],1594
honda civic sedan exl 1.5 t,[1670004],1595
honda civic si 1.5 t mt,[1669673],1596
honda civic si 1.5 t mt sensing (new),[1669674],1597
honda new cr-v ex 2.4 4x2 cvt,[1669111],1598
honda new cr-v exl-t 1.5 turbo 4x2 cvt,[1669112],1599
honda new cr-v touring 1.5 turbo 4x4 cvt,[1669113],1600
